Landkreis,Regierungsbezirk,Timestamp,Confirmed,Deaths
Aichach-Friedberg,Schwaben,2021-10-24T08:00:00+02:00,6404,105
Altötting,Oberbayern,2021-10-24T08:00:00+02:00,7549,216
Amberg Stadt,Oberpfalz,2021-10-24T08:00:00+02:00,2332,31
Amberg-Sulzbach,Oberpfalz,2021-10-24T08:00:00+02:00,5420,162
Ansbach,Mittelfranken,2021-10-24T08:00:00+02:00,9868,200
Ansbach Stadt,Mittelfranken,2021-10-24T08:00:00+02:00,2217,45
Aschaffenburg,Unterfranken,2021-10-24T08:00:00+02:00,9284,216
Aschaffenburg Stadt,Unterfranken,2021-10-24T08:00:00+02:00,4226,118
Augsburg,Schwaben,2021-10-24T08:00:00+02:00,13845,243
Augsburg Stadt,Schwaben,2021-10-24T08:00:00+02:00,22177,427
Bad Kissingen,Unterfranken,2021-10-24T08:00:00+02:00,4197,108
Bad Tölz-Wolfratshausen,Oberbayern,2021-10-24T08:00:00+02:00,7127,90
Bamberg,Oberfranken,2021-10-24T08:00:00+02:00,6428,154
Bamberg Stadt,Oberfranken,2021-10-24T08:00:00+02:00,3766,105
Bayreuth,Oberfranken,2021-10-24T08:00:00+02:00,5379,165
Bayreuth Stadt,Oberfranken,2021-10-24T08:00:00+02:00,3928,112
Berchtesgadener Land,Oberbayern,2021-10-24T08:00:00+02:00,8603,108
Cham,Oberpfalz,2021-10-24T08:00:00+02:00,8649,190
Coburg,Oberfranken,2021-10-24T08:00:00+02:00,5444,163
Coburg Stadt,Oberfranken,2021-10-24T08:00:00+02:00,2663,93
Dachau,Oberbayern,2021-10-24T08:00:00+02:00,10202,148
Deggendorf,Niederbayern,2021-10-24T08:00:00+02:00,8366,161
Dillingen an der Donau,Schwaben,2021-10-24T08:00:00+02:00,4795,136
Dingolfing-Landau,Niederbayern,2021-10-24T08:00:00+02:00,7237,104
Donau-Ries,Schwaben,2021-10-24T08:00:00+02:00,7233,176
Ebersberg,Oberbayern,2021-10-24T08:00:00+02:00,8005,186
Eichstätt,Oberbayern,2021-10-24T08:00:00+02:00,6278,103
Erding,Oberbayern,2021-10-24T08:00:00+02:00,8757,122
Erlangen Stadt,Mittelfranken,2021-10-24T08:00:00+02:00,4770,99
Erlangen-Höchstadt,Mittelfranken,2021-10-24T08:00:00+02:00,6362,135
Forchheim,Oberfranken,2021-10-24T08:00:00+02:00,5605,113
Freising,Oberbayern,2021-10-24T08:00:00+02:00,10170,142
Freyung-Grafenau,Niederbayern,2021-10-24T08:00:00+02:00,5697,129
Fürstenfeldbruck,Oberbayern,2021-10-24T08:00:00+02:00,11502,151
Fürth,Mittelfranken,2021-10-24T08:00:00+02:00,6326,215
Fürth Stadt,Mittelfranken,2021-10-24T08:00:00+02:00,9154,230
Garmisch-Partenkirchen,Oberbayern,2021-10-24T08:00:00+02:00,4219,90
Günzburg,Schwaben,2021-10-24T08:00:00+02:00,8424,113
Haßberge,Unterfranken,2021-10-24T08:00:00+02:00,4665,89
Hof,Oberfranken,2021-10-24T08:00:00+02:00,6865,159
Hof Stadt,Oberfranken,2021-10-24T08:00:00+02:00,4285,118
Ingolstadt Stadt,Oberbayern,2021-10-24T08:00:00+02:00,8108,148
Kaufbeuren Stadt,Schwaben,2021-10-24T08:00:00+02:00,2821,60
Kelheim,Niederbayern,2021-10-24T08:00:00+02:00,7274,113
Kempten Stadt,Schwaben,2021-10-24T08:00:00+02:00,4011,44
Kitzingen,Unterfranken,2021-10-24T08:00:00+02:00,3958,87
Kronach,Oberfranken,2021-10-24T08:00:00+02:00,4607,100
Kulmbach,Oberfranken,2021-10-24T08:00:00+02:00,4507,119
Landsberg am Lech,Oberbayern,2021-10-24T08:00:00+02:00,5174,79
Landshut,Niederbayern,2021-10-24T08:00:00+02:00,9576,174
Landshut Stadt,Niederbayern,2021-10-24T08:00:00+02:00,4921,122
Lichtenfels,Oberfranken,2021-10-24T08:00:00+02:00,3966,86
Lindau (Bodensee),Schwaben,2021-10-24T08:00:00+02:00,4116,64
Main-Spessart,Unterfranken,2021-10-24T08:00:00+02:00,5319,217
Memmingen Stadt,Schwaben,2021-10-24T08:00:00+02:00,2782,26
Miesbach,Oberbayern,2021-10-24T08:00:00+02:00,6051,87
Miltenberg,Unterfranken,2021-10-24T08:00:00+02:00,7065,137
Mühldorf am Inn,Oberbayern,2021-10-24T08:00:00+02:00,8843,164
München,Oberbayern,2021-10-24T08:00:00+02:00,18652,307
München Stadt,Oberbayern,2021-10-24T08:00:00+02:00,92278,1355
Neu-Ulm,Schwaben,2021-10-24T08:00:00+02:00,9836,130
Neuburg-Schrobenhausen,Oberbayern,2021-10-24T08:00:00+02:00,5134,85
Neumarkt in der Oberpfalz,Oberpfalz,2021-10-24T08:00:00+02:00,8114,146
Neustadt an der Aisch-Bad Windsheim,Mittelfranken,2021-10-24T08:00:00+02:00,5202,110
Neustadt an der Waldnaab,Oberpfalz,2021-10-24T08:00:00+02:00,5786,192
Nürnberg Stadt,Mittelfranken,2021-10-24T08:00:00+02:00,41099,989
Nürnberger Land,Mittelfranken,2021-10-24T08:00:00+02:00,8492,190
Oberallgäu,Schwaben,2021-10-24T08:00:00+02:00,7453,92
Ostallgäu,Schwaben,2021-10-24T08:00:00+02:00,8748,135
Passau,Niederbayern,2021-10-24T08:00:00+02:00,14627,384
Passau Stadt,Niederbayern,2021-10-24T08:00:00+02:00,3801,119
