Landkreis,Regierungsbezirk,Timestamp,Confirmed,Deaths
Straubing Stadt,Niederbayern,2020-06-02T10:00:00+02:00,426,46
Straubing-Bogen,Niederbayern,2020-06-02T10:00:00+02:00,548,28
Tirschenreuth,Oberpfalz,2020-06-02T10:00:00+02:00,1133,135
Traunstein,Oberbayern,2020-06-02T10:00:00+02:00,1312,87
Unterallgäu,Schwaben,2020-06-02T10:00:00+02:00,271,14
Weiden in der Oberpfalz Stadt,Oberpfalz,2020-06-02T10:00:00+02:00,323,20
Weilheim-Schongau,Oberbayern,2020-06-02T10:00:00+02:00,353,3
Weißenburg-Gunzenhausen,Mittelfranken,2020-06-02T10:00:00+02:00,321,24
Wunsiedel im Fichtelgebirge,Oberfranken,2020-06-02T10:00:00+02:00,656,39
Würzburg,Unterfranken,2020-06-02T10:00:00+02:00,411,9
Würzburg Stadt,Unterfranken,2020-06-02T10:00:00+02:00,466,50
