Landkreis,Regierungsbezirk,Timestamp,Confirmed,Deaths
Aichach-Friedberg,Schwaben,2021-01-30T08:00:00+01:00,3332,70
Altötting,Oberbayern,2021-01-30T08:00:00+01:00,3515,143
Amberg Stadt,Oberpfalz,2021-01-30T08:00:00+01:00,801,8
Amberg-Sulzbach,Oberpfalz,2021-01-30T08:00:00+01:00,2663,104
Ansbach,Mittelfranken,2021-01-30T08:00:00+01:00,4334,102
Ansbach Stadt,Mittelfranken,2021-01-30T08:00:00+01:00,1110,27
Aschaffenburg,Unterfranken,2021-01-30T08:00:00+01:00,5330,158
Aschaffenburg Stadt,Unterfranken,2021-01-30T08:00:00+01:00,1935,69
Augsburg,Schwaben,2021-01-30T08:00:00+01:00,7281,139
Augsburg Stadt,Schwaben,2021-01-30T08:00:00+01:00,11274,270
Bad Kissingen,Unterfranken,2021-01-30T08:00:00+01:00,2035,76
Bad Tölz-Wolfratshausen,Oberbayern,2021-01-30T08:00:00+01:00,3232,42
Bamberg,Oberfranken,2021-01-30T08:00:00+01:00,3432,104
Bamberg Stadt,Oberfranken,2021-01-30T08:00:00+01:00,1634,64
Bayreuth,Oberfranken,2021-01-30T08:00:00+01:00,2882,104
Bayreuth Stadt,Oberfranken,2021-01-30T08:00:00+01:00,1957,60
Berchtesgadener Land,Oberbayern,2021-01-30T08:00:00+01:00,3858,85
Cham,Oberpfalz,2021-01-30T08:00:00+01:00,3356,105
Coburg,Oberfranken,2021-01-30T08:00:00+01:00,3080,134
Coburg Stadt,Oberfranken,2021-01-30T08:00:00+01:00,1478,75
Dachau,Oberbayern,2021-01-30T08:00:00+01:00,5466,94
Deggendorf,Niederbayern,2021-01-30T08:00:00+01:00,3945,107
Dillingen an der Donau,Schwaben,2021-01-30T08:00:00+01:00,2358,90
Dingolfing-Landau,Niederbayern,2021-01-30T08:00:00+01:00,3059,71
Donau-Ries,Schwaben,2021-01-30T08:00:00+01:00,3475,123
Ebersberg,Oberbayern,2021-01-30T08:00:00+01:00,4475,125
Eichstätt,Oberbayern,2021-01-30T08:00:00+01:00,3206,62
Erding,Oberbayern,2021-01-30T08:00:00+01:00,4787,68
Erlangen Stadt,Mittelfranken,2021-01-30T08:00:00+01:00,2634,77
Erlangen-Höchstadt,Mittelfranken,2021-01-30T08:00:00+01:00,3361,102
Forchheim,Oberfranken,2021-01-30T08:00:00+01:00,2971,89
Freising,Oberbayern,2021-01-30T08:00:00+01:00,5277,93
Freyung-Grafenau,Niederbayern,2021-01-30T08:00:00+01:00,3211,89
Fürstenfeldbruck,Oberbayern,2021-01-30T08:00:00+01:00,6621,106
Fürth,Mittelfranken,2021-01-30T08:00:00+01:00,3490,154
Fürth Stadt,Mittelfranken,2021-01-30T08:00:00+01:00,4595,161
Garmisch-Partenkirchen,Oberbayern,2021-01-30T08:00:00+01:00,2303,67
Günzburg,Schwaben,2021-01-30T08:00:00+01:00,4175,89
Haßberge,Unterfranken,2021-01-30T08:00:00+01:00,2285,66
Hof,Oberfranken,2021-01-30T08:00:00+01:00,3151,95
Hof Stadt,Oberfranken,2021-01-30T08:00:00+01:00,1826,64
Ingolstadt Stadt,Oberbayern,2021-01-30T08:00:00+01:00,3945,85
Kaufbeuren Stadt,Schwaben,2021-01-30T08:00:00+01:00,1388,43
Kelheim,Niederbayern,2021-01-30T08:00:00+01:00,3014,74
Kempten Stadt,Schwaben,2021-01-30T08:00:00+01:00,1500,30
Kitzingen,Unterfranken,2021-01-30T08:00:00+01:00,1884,53
Kronach,Oberfranken,2021-01-30T08:00:00+01:00,2024,53
Kulmbach,Oberfranken,2021-01-30T08:00:00+01:00,1974,81
Landsberg am Lech,Oberbayern,2021-01-30T08:00:00+01:00,2773,37
Landshut,Niederbayern,2021-01-30T08:00:00+01:00,4769,140
Landshut Stadt,Niederbayern,2021-01-30T08:00:00+01:00,2493,75
Lichtenfels,Oberfranken,2021-01-30T08:00:00+01:00,2005,52
Lindau (Bodensee),Schwaben,2021-01-30T08:00:00+01:00,2135,42
Main-Spessart,Unterfranken,2021-01-30T08:00:00+01:00,3012,182
Memmingen Stadt,Schwaben,2021-01-30T08:00:00+01:00,1117,16
Miesbach,Oberbayern,2021-01-30T08:00:00+01:00,2960,44
Miltenberg,Unterfranken,2021-01-30T08:00:00+01:00,3765,91
Mühldorf am Inn,Oberbayern,2021-01-30T08:00:00+01:00,4122,105
München,Oberbayern,2021-01-30T08:00:00+01:00,10710,162
München Stadt,Oberbayern,2021-01-30T08:00:00+01:00,51456,827
Neu-Ulm,Schwaben,2021-01-30T08:00:00+01:00,4498,87
Neuburg-Schrobenhausen,Oberbayern,2021-01-30T08:00:00+01:00,2599,58
Neumarkt in der Oberpfalz,Oberpfalz,2021-01-30T08:00:00+01:00,3698,102
Neustadt an der Aisch-Bad Windsheim,Mittelfranken,2021-01-30T08:00:00+01:00,2337,51
Neustadt an der Waldnaab,Oberpfalz,2021-01-30T08:00:00+01:00,3433,124
Nürnberg Stadt,Mittelfranken,2021-01-30T08:00:00+01:00,21773,490
Nürnberger Land,Mittelfranken,2021-01-30T08:00:00+01:00,4380,151
Oberallgäu,Schwaben,2021-01-30T08:00:00+01:00,3460,48
Ostallgäu,Schwaben,2021-01-30T08:00:00+01:00,3678,97
Passau,Niederbayern,2021-01-30T08:00:00+01:00,8976,244
Passau Stadt,Niederbayern,2021-01-30T08:00:00+01:00,2479,93
Pfaffenhofen an der Ilm,Oberbayern,2021-01-30T08:00:00+01:00,3596,141
Regen,Niederbayern,2021-01-30T08:00:00+01:00,3857,132
Regensburg,Oberpfalz,2021-01-30T08:00:00+01:00,4496,113
Regensburg Stadt,Oberpfalz,2021-01-30T08:00:00+01:00,4083,59
Rhön-Grabfeld,Unterfranken,2021-01-30T08:00:00+01:00,1929,59
Rosenheim,Oberbayern,2021-01-30T08:00:00+01:00,9969,397
Rosenheim Stadt,Oberbayern,2021-01-30T08:00:00+01:00,2725,49
Roth,Mittelfranken,2021-01-30T08:00:00+01:00,3754,125
Rottal-Inn,Niederbayern,2021-01-30T08:00:00+01:00,4735,126
Schwabach Stadt,Mittelfranken,2021-01-30T08:00:00+01:00,1472,89
Schwandorf,Oberpfalz,2021-01-30T08:00:00+01:00,4149,104
Schweinfurt,Unterfranken,2021-01-30T08:00:00+01:00,3145,101
Schweinfurt Stadt,Unterfranken,2021-01-30T08:00:00+01:00,1464,52
Starnberg,Oberbayern,2021-01-30T08:00:00+01:00,3485,64
Straubing Stadt,Niederbayern,2021-01-30T08:00:00+01:00,1450,68
Straubing-Bogen,Niederbayern,2021-01-30T08:00:00+01:00,3202,105
Tirschenreuth,Oberpfalz,2021-01-30T08:00:00+01:00,3354,195
Traunstein,Oberbayern,2021-01-30T08:00:00+01:00,6824,179
Unterallgäu,Schwaben,2021-01-30T08:00:00+01:00,3806,92
Weiden in der Oberpfalz Stadt,Oberpfalz,2021-01-30T08:00:00+01:00,1748,54
Weilheim-Schongau,Oberbayern,2021-01-30T08:00:00+01:00,2969,41
Weißenburg-Gunzenhausen,Mittelfranken,2021-01-30T08:00:00+01:00,2481,78
Wunsiedel im Fichtelgebirge,Oberfranken,2021-01-30T08:00:00+01:00,2843,119
Würzburg,Unterfranken,2021-01-30T08:00:00+01:00,2729,45
Würzburg Stadt,Unterfranken,2021-01-30T08:00:00+01:00,2749,83
