Landkreis,Regierungsbezirk,Timestamp,Confirmed
Aichach-Friedberg,Schwaben,2020-03-24T10:00:00+01:00,47
Altötting,Oberbayern,2020-03-24T10:00:00+01:00,37
Amberg Stadt,Oberpfalz,2020-03-24T10:00:00+01:00,6
Amberg-Sulzbach,Oberpfalz,2020-03-24T10:00:00+01:00,31
Ansbach,Mittelfranken,2020-03-24T10:00:00+01:00,47
Ansbach Stadt,Mittelfranken,2020-03-24T10:00:00+01:00,6
Aschaffenburg,Unterfranken,2020-03-24T10:00:00+01:00,57
Aschaffenburg Stadt,Unterfranken,2020-03-24T10:00:00+01:00,28
Augsburg,Schwaben,2020-03-24T10:00:00+01:00,77
Augsburg Stadt,Schwaben,2020-03-24T10:00:00+01:00,69
Bad Kissingen,Unterfranken,2020-03-24T10:00:00+01:00,21
Bad Tölz-Wolfratshausen,Oberbayern,2020-03-24T10:00:00+01:00,64
Bamberg,Oberfranken,2020-03-24T10:00:00+01:00,49
Bamberg Stadt,Oberfranken,2020-03-24T10:00:00+01:00,22
Bayreuth,Oberfranken,2020-03-24T10:00:00+01:00,35
Bayreuth Stadt,Oberfranken,2020-03-24T10:00:00+01:00,9
Berchtesgadener Land,Oberbayern,2020-03-24T10:00:00+01:00,20
Cham,Oberpfalz,2020-03-24T10:00:00+01:00,75
Coburg,Oberfranken,2020-03-24T10:00:00+01:00,33
Dachau,Oberbayern,2020-03-24T10:00:00+01:00,76
Deggendorf,Niederbayern,2020-03-24T10:00:00+01:00,61
Dillingen an der Donau,Schwaben,2020-03-24T10:00:00+01:00,17
Dingolfing-Landau,Niederbayern,2020-03-24T10:00:00+01:00,41
Donau-Ries,Schwaben,2020-03-24T10:00:00+01:00,26
Ebersberg,Oberbayern,2020-03-24T10:00:00+01:00,72
Eichstätt,Oberbayern,2020-03-24T10:00:00+01:00,25
Erding,Oberbayern,2020-03-24T10:00:00+01:00,122
Erlangen Stadt,Mittelfranken,2020-03-24T10:00:00+01:00,24
Erlangen-Höchstadt,Mittelfranken,2020-03-24T10:00:00+01:00,27
Forchheim,Oberfranken,2020-03-24T10:00:00+01:00,29
Freising,Oberbayern,2020-03-24T10:00:00+01:00,252
