Regierungsbezirk,Timestamp,Confirmed,Deaths
Oberbayern,2022-01-24T08:00:00+01:00,602026,6227
Niederbayern,2022-01-24T08:00:00+01:00,174202,2581
Oberpfalz,2022-01-24T08:00:00+01:00,128320,1869
Oberfranken,2022-01-24T08:00:00+01:00,114417,2061
Mittelfranken,2022-01-24T08:00:00+01:00,200299,3071
Unterfranken,2022-01-24T08:00:00+01:00,127860,1852
Schwaben,2022-01-24T08:00:00+01:00,235294,2653
