Landkreis,Regierungsbezirk,Timestamp,Confirmed
Amberg Stadt,Oberpfalz,2020-03-15T12:00:00+01:00,1
Amberg-Sulzbach,Oberpfalz,2020-03-15T12:00:00+01:00,7
Aschaffenburg,Unterfranken,2020-03-15T12:00:00+01:00,3
Aschaffenburg Stadt,Unterfranken,2020-03-15T12:00:00+01:00,6
Augsburg,Schwaben,2020-03-15T12:00:00+01:00,25
Augsburg Stadt,Schwaben,2020-03-15T12:00:00+01:00,6
Bad Kissingen,Unterfranken,2020-03-15T12:00:00+01:00,3
Bad Tölz-Wolfratshausen,Oberbayern,2020-03-15T12:00:00+01:00,10
Bamberg,Oberfranken,2020-03-15T12:00:00+01:00,7
Bamberg Stadt,Oberfranken,2020-03-15T12:00:00+01:00,1
Bayreuth,Oberfranken,2020-03-15T12:00:00+01:00,5
Cham,Oberpfalz,2020-03-15T12:00:00+01:00,21
Coburg,Oberfranken,2020-03-15T12:00:00+01:00,3
Deggendorf,Niederbayern,2020-03-15T12:00:00+01:00,1
Dingolfing-Landau,Niederbayern,2020-03-15T12:00:00+01:00,13
Donau-Ries,Schwaben,2020-03-15T12:00:00+01:00,3
Ebersberg,Oberbayern,2020-03-15T12:00:00+01:00,21
Eichstätt,Oberbayern,2020-03-15T12:00:00+01:00,2
Erding,Oberbayern,2020-03-15T12:00:00+01:00,11
Erlangen Stadt,Mittelfranken,2020-03-15T12:00:00+01:00,6
Erlangen-Höchstadt,Mittelfranken,2020-03-15T12:00:00+01:00,10
Forchheim,Oberfranken,2020-03-15T12:00:00+01:00,4
Freising,Oberbayern,2020-03-15T12:00:00+01:00,74
Fürstenfeldbruck,Oberbayern,2020-03-15T12:00:00+01:00,18
Fürth,Mittelfranken,2020-03-15T12:00:00+01:00,3
Fürth Stadt,Mittelfranken,2020-03-15T12:00:00+01:00,8
Haßberge,Unterfranken,2020-03-15T12:00:00+01:00,6
Hof,Oberfranken,2020-03-15T12:00:00+01:00,3
Hof Stadt,Oberfranken,2020-03-15T12:00:00+01:00,1
Ingolstadt Stadt,Oberbayern,2020-03-15T12:00:00+01:00,1
Kaufbeuren Stadt,Schwaben,2020-03-15T12:00:00+01:00,1
Kelheim,Niederbayern,2020-03-15T12:00:00+01:00,3
Kitzingen,Unterfranken,2020-03-15T12:00:00+01:00,3
Kronach,Oberfranken,2020-03-15T12:00:00+01:00,2
Landsberg am Lech,Oberbayern,2020-03-15T12:00:00+01:00,4
Landshut,Niederbayern,2020-03-15T12:00:00+01:00,8
Landshut Stadt,Niederbayern,2020-03-15T12:00:00+01:00,4
Lindau (Bodensee),Schwaben,2020-03-15T12:00:00+01:00,12
Main-Spessart,Unterfranken,2020-03-15T12:00:00+01:00,5
Memmingen Stadt,Schwaben,2020-03-15T12:00:00+01:00,1
Miesbach,Oberbayern,2020-03-15T12:00:00+01:00,15
Miltenberg,Unterfranken,2020-03-15T12:00:00+01:00,4
München,Oberbayern,2020-03-15T12:00:00+01:00,38
München Stadt,Oberbayern,2020-03-15T12:00:00+01:00,187
Neu-Ulm,Schwaben,2020-03-15T12:00:00+01:00,10
Neumarkt in der Oberpfalz,Oberpfalz,2020-03-15T12:00:00+01:00,5
Neustadt an der Aisch-Bad Windsheim,Mittelfranken,2020-03-15T12:00:00+01:00,4
Neustadt an der Waldnaab,Oberpfalz,2020-03-15T12:00:00+01:00,1
Nürnberg Stadt,Mittelfranken,2020-03-15T12:00:00+01:00,24
Nürnberger Land,Mittelfranken,2020-03-15T12:00:00+01:00,2
Oberallgäu,Schwaben,2020-03-15T12:00:00+01:00,24
Ostallgäu,Schwaben,2020-03-15T12:00:00+01:00,10
Passau,Niederbayern,2020-03-15T12:00:00+01:00,15
Passau Stadt,Niederbayern,2020-03-15T12:00:00+01:00,3
Pfaffenhofen an der Ilm,Oberbayern,2020-03-15T12:00:00+01:00,7
Regen,Niederbayern,2020-03-15T12:00:00+01:00,6
Regensburg,Oberpfalz,2020-03-15T12:00:00+01:00,8
Regensburg Stadt,Oberpfalz,2020-03-15T12:00:00+01:00,6
Rosenheim,Oberbayern,2020-03-15T12:00:00+01:00,17
Rosenheim Stadt,Oberbayern,2020-03-15T12:00:00+01:00,1
Roth,Mittelfranken,2020-03-15T12:00:00+01:00,4
Rottal-Inn,Niederbayern,2020-03-15T12:00:00+01:00,14
Schwabach Stadt,Mittelfranken,2020-03-15T12:00:00+01:00,1
Schwandorf,Oberpfalz,2020-03-15T12:00:00+01:00,7
Schweinfurt,Unterfranken,2020-03-15T12:00:00+01:00,5
Starnberg,Oberbayern,2020-03-15T12:00:00+01:00,42
Straubing Stadt,Niederbayern,2020-03-15T12:00:00+01:00,4
Straubing-Bogen,Niederbayern,2020-03-15T12:00:00+01:00,2
Tirschenreuth,Oberpfalz,2020-03-15T12:00:00+01:00,17
Traunstein,Oberbayern,2020-03-15T12:00:00+01:00,10
Weiden in der Oberpfalz Stadt,Oberpfalz,2020-03-15T12:00:00+01:00,6
Weilheim-Schongau,Oberbayern,2020-03-15T12:00:00+01:00,13
Weißenburg-Gunzenhausen,Mittelfranken,2020-03-15T12:00:00+01:00,2
Würzburg,Unterfranken,2020-03-15T12:00:00+01:00,26
Würzburg Stadt,Unterfranken,2020-03-15T12:00:00+01:00,20
