Landkreis,Regierungsbezirk,Timestamp,Confirmed
Aichach-Friedberg,Schwaben,2020-03-23T10:00:00+01:00,28
Altötting,Oberbayern,2020-03-23T10:00:00+01:00,36
Amberg Stadt,Oberpfalz,2020-03-23T10:00:00+01:00,5
Amberg-Sulzbach,Oberpfalz,2020-03-23T10:00:00+01:00,27
Ansbach,Mittelfranken,2020-03-23T10:00:00+01:00,45
Ansbach Stadt,Mittelfranken,2020-03-23T10:00:00+01:00,3
Aschaffenburg,Unterfranken,2020-03-23T10:00:00+01:00,50
Aschaffenburg Stadt,Unterfranken,2020-03-23T10:00:00+01:00,28
Augsburg,Schwaben,2020-03-23T10:00:00+01:00,59
Augsburg Stadt,Schwaben,2020-03-23T10:00:00+01:00,59
Bad Kissingen,Unterfranken,2020-03-23T10:00:00+01:00,21
Bad Tölz-Wolfratshausen,Oberbayern,2020-03-23T10:00:00+01:00,54
Bamberg,Oberfranken,2020-03-23T10:00:00+01:00,41
Bamberg Stadt,Oberfranken,2020-03-23T10:00:00+01:00,22
Bayreuth,Oberfranken,2020-03-23T10:00:00+01:00,26
Bayreuth Stadt,Oberfranken,2020-03-23T10:00:00+01:00,7
Berchtesgadener Land,Oberbayern,2020-03-23T10:00:00+01:00,8
Cham,Oberpfalz,2020-03-23T10:00:00+01:00,73
Coburg,Oberfranken,2020-03-23T10:00:00+01:00,32
Dachau,Oberbayern,2020-03-23T10:00:00+01:00,69
Deggendorf,Niederbayern,2020-03-23T10:00:00+01:00,55
Dillingen an der Donau,Schwaben,2020-03-23T10:00:00+01:00,17
Dingolfing-Landau,Niederbayern,2020-03-23T10:00:00+01:00,39
Donau-Ries,Schwaben,2020-03-23T10:00:00+01:00,10
Ebersberg,Oberbayern,2020-03-23T10:00:00+01:00,60
Eichstätt,Oberbayern,2020-03-23T10:00:00+01:00,25
Erding,Oberbayern,2020-03-23T10:00:00+01:00,104
Erlangen Stadt,Mittelfranken,2020-03-23T10:00:00+01:00,24
Erlangen-Höchstadt,Mittelfranken,2020-03-23T10:00:00+01:00,27
Forchheim,Oberfranken,2020-03-23T10:00:00+01:00,25
Freising,Oberbayern,2020-03-23T10:00:00+01:00,236
Freyung-Grafenau,Niederbayern,2020-03-23T10:00:00+01:00,16
Fürstenfeldbruck,Oberbayern,2020-03-23T10:00:00+01:00,51
Fürth,Mittelfranken,2020-03-23T10:00:00+01:00,19
Fürth Stadt,Mittelfranken,2020-03-23T10:00:00+01:00,24
Garmisch-Partenkirchen,Oberbayern,2020-03-23T10:00:00+01:00,43
Günzburg,Schwaben,2020-03-23T10:00:00+01:00,25
Haßberge,Unterfranken,2020-03-23T10:00:00+01:00,17
Hof,Oberfranken,2020-03-23T10:00:00+01:00,34
Hof Stadt,Oberfranken,2020-03-23T10:00:00+01:00,11
Ingolstadt Stadt,Oberbayern,2020-03-23T10:00:00+01:00,5
