Landkreis,Regierungsbezirk,Timestamp,Confirmed,Deaths
Aichach-Friedberg,Schwaben,2021-06-06T08:00:00+02:00,5167,100
Altötting,Oberbayern,2021-06-06T08:00:00+02:00,6042,208
Amberg Stadt,Oberpfalz,2021-06-06T08:00:00+02:00,1732,23
Amberg-Sulzbach,Oberpfalz,2021-06-06T08:00:00+02:00,4823,157
Ansbach,Mittelfranken,2021-06-06T08:00:00+02:00,8267,181
Ansbach Stadt,Mittelfranken,2021-06-06T08:00:00+02:00,1818,44
Aschaffenburg,Unterfranken,2021-06-06T08:00:00+02:00,7965,210
Aschaffenburg Stadt,Unterfranken,2021-06-06T08:00:00+02:00,3448,113
Augsburg,Schwaben,2021-06-06T08:00:00+02:00,11348,224
Augsburg Stadt,Schwaben,2021-06-06T08:00:00+02:00,17749,401
Bad Kissingen,Unterfranken,2021-06-06T08:00:00+02:00,3623,103
Bad Tölz-Wolfratshausen,Oberbayern,2021-06-06T08:00:00+02:00,5038,78
Bamberg,Oberfranken,2021-06-06T08:00:00+02:00,5533,141
Bamberg Stadt,Oberfranken,2021-06-06T08:00:00+02:00,3052,106
Bayreuth,Oberfranken,2021-06-06T08:00:00+02:00,4923,161
Bayreuth Stadt,Oberfranken,2021-06-06T08:00:00+02:00,3466,109
Berchtesgadener Land,Oberbayern,2021-06-06T08:00:00+02:00,5938,102
Cham,Oberpfalz,2021-06-06T08:00:00+02:00,7107,182
Coburg,Oberfranken,2021-06-06T08:00:00+02:00,4849,160
Coburg Stadt,Oberfranken,2021-06-06T08:00:00+02:00,2386,92
Dachau,Oberbayern,2021-06-06T08:00:00+02:00,8199,141
Deggendorf,Niederbayern,2021-06-06T08:00:00+02:00,6955,156
Dillingen an der Donau,Schwaben,2021-06-06T08:00:00+02:00,3738,112
Dingolfing-Landau,Niederbayern,2021-06-06T08:00:00+02:00,5758,96
Donau-Ries,Schwaben,2021-06-06T08:00:00+02:00,5897,161
Ebersberg,Oberbayern,2021-06-06T08:00:00+02:00,6311,178
Eichstätt,Oberbayern,2021-06-06T08:00:00+02:00,5020,82
Erding,Oberbayern,2021-06-06T08:00:00+02:00,6926,118
Erlangen Stadt,Mittelfranken,2021-06-06T08:00:00+02:00,3958,93
Erlangen-Höchstadt,Mittelfranken,2021-06-06T08:00:00+02:00,5374,129
Forchheim,Oberfranken,2021-06-06T08:00:00+02:00,4729,113
Freising,Oberbayern,2021-06-06T08:00:00+02:00,8077,130
Freyung-Grafenau,Niederbayern,2021-06-06T08:00:00+02:00,4918,128
Fürstenfeldbruck,Oberbayern,2021-06-06T08:00:00+02:00,9674,140
Fürth,Mittelfranken,2021-06-06T08:00:00+02:00,5319,207
Fürth Stadt,Mittelfranken,2021-06-06T08:00:00+02:00,7649,219
Garmisch-Partenkirchen,Oberbayern,2021-06-06T08:00:00+02:00,3603,87
Günzburg,Schwaben,2021-06-06T08:00:00+02:00,6843,109
Haßberge,Unterfranken,2021-06-06T08:00:00+02:00,4037,87
Hof,Oberfranken,2021-06-06T08:00:00+02:00,6376,155
Hof Stadt,Oberfranken,2021-06-06T08:00:00+02:00,3941,116
Ingolstadt Stadt,Oberbayern,2021-06-06T08:00:00+02:00,6102,109
Kaufbeuren Stadt,Schwaben,2021-06-06T08:00:00+02:00,2371,54
Kelheim,Niederbayern,2021-06-06T08:00:00+02:00,5909,107
Kempten Stadt,Schwaben,2021-06-06T08:00:00+02:00,3281,48
Kitzingen,Unterfranken,2021-06-06T08:00:00+02:00,3246,86
Kronach,Oberfranken,2021-06-06T08:00:00+02:00,4174,94
Kulmbach,Oberfranken,2021-06-06T08:00:00+02:00,4074,117
Landsberg am Lech,Oberbayern,2021-06-06T08:00:00+02:00,4074,70
Landshut,Niederbayern,2021-06-06T08:00:00+02:00,7981,171
Landshut Stadt,Niederbayern,2021-06-06T08:00:00+02:00,4051,109
Lichtenfels,Oberfranken,2021-06-06T08:00:00+02:00,3519,83
Lindau (Bodensee),Schwaben,2021-06-06T08:00:00+02:00,3350,63
Main-Spessart,Unterfranken,2021-06-06T08:00:00+02:00,4713,215
Memmingen Stadt,Schwaben,2021-06-06T08:00:00+02:00,2234,25
Miesbach,Oberbayern,2021-06-06T08:00:00+02:00,4528,81
Miltenberg,Unterfranken,2021-06-06T08:00:00+02:00,5936,127
Mühldorf am Inn,Oberbayern,2021-06-06T08:00:00+02:00,6939,153
München,Oberbayern,2021-06-06T08:00:00+02:00,15230,289
München Stadt,Oberbayern,2021-06-06T08:00:00+02:00,72822,1242
Neu-Ulm,Schwaben,2021-06-06T08:00:00+02:00,7590,116
Neuburg-Schrobenhausen,Oberbayern,2021-06-06T08:00:00+02:00,4136,77
Neumarkt in der Oberpfalz,Oberpfalz,2021-06-06T08:00:00+02:00,6529,130
Neustadt an der Aisch-Bad Windsheim,Mittelfranken,2021-06-06T08:00:00+02:00,4380,107
Neustadt an der Waldnaab,Oberpfalz,2021-06-06T08:00:00+02:00,5226,188
Nürnberg Stadt,Mittelfranken,2021-06-06T08:00:00+02:00,34249,944
Nürnberger Land,Mittelfranken,2021-06-06T08:00:00+02:00,7382,175
Oberallgäu,Schwaben,2021-06-06T08:00:00+02:00,5941,86
Ostallgäu,Schwaben,2021-06-06T08:00:00+02:00,7112,127
Passau,Niederbayern,2021-06-06T08:00:00+02:00,12906,367
Passau Stadt,Niederbayern,2021-06-06T08:00:00+02:00,3386,112
Pfaffenhofen an der Ilm,Oberbayern,2021-06-06T08:00:00+02:00,5628,159
Regen,Niederbayern,2021-06-06T08:00:00+02:00,5525,162
Regensburg,Oberpfalz,2021-06-06T08:00:00+02:00,8225,189
Regensburg Stadt,Oberpfalz,2021-06-06T08:00:00+02:00,6935,82
Rhön-Grabfeld,Unterfranken,2021-06-06T08:00:00+02:00,3525,87
Rosenheim,Oberbayern,2021-06-06T08:00:00+02:00,13822,454
Rosenheim Stadt,Oberbayern,2021-06-06T08:00:00+02:00,3915,60
Roth,Mittelfranken,2021-06-06T08:00:00+02:00,5667,174
Rottal-Inn,Niederbayern,2021-06-06T08:00:00+02:00,7517,180
Schwabach Stadt,Mittelfranken,2021-06-06T08:00:00+02:00,2141,104
Schwandorf,Oberpfalz,2021-06-06T08:00:00+02:00,8364,157
Schweinfurt,Unterfranken,2021-06-06T08:00:00+02:00,5105,134
Schweinfurt Stadt,Unterfranken,2021-06-06T08:00:00+02:00,3076,89
Starnberg,Oberbayern,2021-06-06T08:00:00+02:00,5066,112
Straubing Stadt,Niederbayern,2021-06-06T08:00:00+02:00,2377,87
Straubing-Bogen,Niederbayern,2021-06-06T08:00:00+02:00,5359,141
Tirschenreuth,Oberpfalz,2021-06-06T08:00:00+02:00,5318,265
Traunstein,Oberbayern,2021-06-06T08:00:00+02:00,10971,215
Unterallgäu,Schwaben,2021-06-06T08:00:00+02:00,7195,152
Weiden in der Oberpfalz Stadt,Oberpfalz,2021-06-06T08:00:00+02:00,2692,98
Weilheim-Schongau,Oberbayern,2021-06-06T08:00:00+02:00,5095,82
Weißenburg-Gunzenhausen,Mittelfranken,2021-06-06T08:00:00+02:00,3903,114
Wunsiedel im Fichtelgebirge,Oberfranken,2021-06-06T08:00:00+02:00,5016,197
Würzburg,Unterfranken,2021-06-06T08:00:00+02:00,4367,72
Würzburg Stadt,Unterfranken,2021-06-06T08:00:00+02:00,4469,123
