Landkreis,Regierungsbezirk,Timestamp,Confirmed
Aichach-Friedberg,Schwaben,2020-03-21T10:00:00+01:00,18
Altötting,Oberbayern,2020-03-21T10:00:00+01:00,17
Amberg Stadt,Oberpfalz,2020-03-21T10:00:00+01:00,2
Amberg-Sulzbach,Oberpfalz,2020-03-21T10:00:00+01:00,18
Ansbach,Mittelfranken,2020-03-21T10:00:00+01:00,28
Ansbach Stadt,Mittelfranken,2020-03-21T10:00:00+01:00,3
Aschaffenburg,Unterfranken,2020-03-21T10:00:00+01:00,40
Aschaffenburg Stadt,Unterfranken,2020-03-21T10:00:00+01:00,22
Augsburg,Schwaben,2020-03-21T10:00:00+01:00,54
Augsburg Stadt,Schwaben,2020-03-21T10:00:00+01:00,40
Bad Kissingen,Unterfranken,2020-03-21T10:00:00+01:00,14
Bad Tölz-Wolfratshausen,Oberbayern,2020-03-21T10:00:00+01:00,40
Bamberg,Oberfranken,2020-03-21T10:00:00+01:00,40
Bamberg Stadt,Oberfranken,2020-03-21T10:00:00+01:00,22
Bayreuth,Oberfranken,2020-03-21T10:00:00+01:00,20
Bayreuth Stadt,Oberfranken,2020-03-21T10:00:00+01:00,5
Berchtesgadener Land,Oberbayern,2020-03-21T10:00:00+01:00,8
Cham,Oberpfalz,2020-03-21T10:00:00+01:00,47
Coburg,Oberfranken,2020-03-21T10:00:00+01:00,22
Dachau,Oberbayern,2020-03-21T10:00:00+01:00,45
Deggendorf,Niederbayern,2020-03-21T10:00:00+01:00,45
Dillingen an der Donau,Schwaben,2020-03-21T10:00:00+01:00,8
Dingolfing-Landau,Niederbayern,2020-03-21T10:00:00+01:00,30
Donau-Ries,Schwaben,2020-03-21T10:00:00+01:00,10
Ebersberg,Oberbayern,2020-03-21T10:00:00+01:00,52
Eichstätt,Oberbayern,2020-03-21T10:00:00+01:00,15
Erding,Oberbayern,2020-03-21T10:00:00+01:00,67
Erlangen Stadt,Mittelfranken,2020-03-21T10:00:00+01:00,17
Erlangen-Höchstadt,Mittelfranken,2020-03-21T10:00:00+01:00,20
Forchheim,Oberfranken,2020-03-21T10:00:00+01:00,19
Freising,Oberbayern,2020-03-21T10:00:00+01:00,174
Freyung-Grafenau,Niederbayern,2020-03-21T10:00:00+01:00,10
Fürstenfeldbruck,Oberbayern,2020-03-21T10:00:00+01:00,51
Fürth,Mittelfranken,2020-03-21T10:00:00+01:00,14
Fürth Stadt,Mittelfranken,2020-03-21T10:00:00+01:00,17
Garmisch-Partenkirchen,Oberbayern,2020-03-21T10:00:00+01:00,31
Günzburg,Schwaben,2020-03-21T10:00:00+01:00,25
Haßberge,Unterfranken,2020-03-21T10:00:00+01:00,16
Hof,Oberfranken,2020-03-21T10:00:00+01:00,30
Hof Stadt,Oberfranken,2020-03-21T10:00:00+01:00,10
Ingolstadt Stadt,Oberbayern,2020-03-21T10:00:00+01:00,5
Kaufbeuren Stadt,Schwaben,2020-03-21T10:00:00+01:00,5
Kelheim,Niederbayern,2020-03-21T10:00:00+01:00,26
Kitzingen,Unterfranken,2020-03-21T10:00:00+01:00,11
Kronach,Oberfranken,2020-03-21T10:00:00+01:00,13
Kulmbach,Oberfranken,2020-03-21T10:00:00+01:00,14
Landsberg am Lech,Oberbayern,2020-03-21T10:00:00+01:00,24
Landshut,Niederbayern,2020-03-21T10:00:00+01:00,68
Landshut Stadt,Niederbayern,2020-03-21T10:00:00+01:00,28
Lichtenfels,Oberfranken,2020-03-21T10:00:00+01:00,7
Lindau (Bodensee),Schwaben,2020-03-21T10:00:00+01:00,37
Main-Spessart,Unterfranken,2020-03-21T10:00:00+01:00,12
Memmingen Stadt,Schwaben,2020-03-21T10:00:00+01:00,14
Miesbach,Oberbayern,2020-03-21T10:00:00+01:00,61
Miltenberg,Unterfranken,2020-03-21T10:00:00+01:00,28
Mühldorf am Inn,Oberbayern,2020-03-21T10:00:00+01:00,20
München,Oberbayern,2020-03-21T10:00:00+01:00,219
München Stadt,Oberbayern,2020-03-21T10:00:00+01:00,591
Neu-Ulm,Schwaben,2020-03-21T10:00:00+01:00,36
Neuburg-Schrobenhausen,Oberbayern,2020-03-21T10:00:00+01:00,22
Neumarkt in der Oberpfalz,Oberpfalz,2020-03-21T10:00:00+01:00,18
Neustadt an der Aisch-Bad Windsheim,Mittelfranken,2020-03-21T10:00:00+01:00,10
Neustadt an der Waldnaab,Oberpfalz,2020-03-21T10:00:00+01:00,3
Nürnberg Stadt,Mittelfranken,2020-03-21T10:00:00+01:00,69
Nürnberger Land,Mittelfranken,2020-03-21T10:00:00+01:00,40
Oberallgäu,Schwaben,2020-03-21T10:00:00+01:00,52
Ostallgäu,Schwaben,2020-03-21T10:00:00+01:00,26
Passau,Niederbayern,2020-03-21T10:00:00+01:00,25
Passau Stadt,Niederbayern,2020-03-21T10:00:00+01:00,7
Pfaffenhofen an der Ilm,Oberbayern,2020-03-21T10:00:00+01:00,19
Regen,Niederbayern,2020-03-21T10:00:00+01:00,24
Regensburg,Oberpfalz,2020-03-21T10:00:00+01:00,64
Regensburg Stadt,Oberpfalz,2020-03-21T10:00:00+01:00,72
Rhön-Grabfeld,Unterfranken,2020-03-21T10:00:00+01:00,10
Rosenheim,Oberbayern,2020-03-21T10:00:00+01:00,179
Rosenheim Stadt,Oberbayern,2020-03-21T10:00:00+01:00,1
Roth,Mittelfranken,2020-03-21T10:00:00+01:00,14
Rottal-Inn,Niederbayern,2020-03-21T10:00:00+01:00,56
Schwabach Stadt,Mittelfranken,2020-03-21T10:00:00+01:00,8
Schwandorf,Oberpfalz,2020-03-21T10:00:00+01:00,24
Schweinfurt,Unterfranken,2020-03-21T10:00:00+01:00,30
Schweinfurt Stadt,Unterfranken,2020-03-21T10:00:00+01:00,4
Starnberg,Oberbayern,2020-03-21T10:00:00+01:00,83
Straubing Stadt,Niederbayern,2020-03-21T10:00:00+01:00,20
Straubing-Bogen,Niederbayern,2020-03-21T10:00:00+01:00,20
Tirschenreuth,Oberpfalz,2020-03-21T10:00:00+01:00,68
Traunstein,Oberbayern,2020-03-21T10:00:00+01:00,40
Unterallgäu,Schwaben,2020-03-21T10:00:00+01:00,31
Weiden in der Oberpfalz Stadt,Oberpfalz,2020-03-21T10:00:00+01:00,7
Weilheim-Schongau,Oberbayern,2020-03-21T10:00:00+01:00,58
Weißenburg-Gunzenhausen,Mittelfranken,2020-03-21T10:00:00+01:00,12
Wunsiedel im Fichtelgebirge,Oberfranken,2020-03-21T10:00:00+01:00,22
Würzburg,Unterfranken,2020-03-21T10:00:00+01:00,108
Würzburg Stadt,Unterfranken,2020-03-21T10:00:00+01:00,64
