Landkreis,Regierungsbezirk,Timestamp,Confirmed,Deaths
Aichach-Friedberg,Schwaben,2020-10-10T08:00:00+02:00,539,20
Altötting,Oberbayern,2020-10-10T08:00:00+02:00,757,57
Amberg Stadt,Oberpfalz,2020-10-10T08:00:00+02:00,148,4
Amberg-Sulzbach,Oberpfalz,2020-10-10T08:00:00+02:00,559,54
Ansbach,Mittelfranken,2020-10-10T08:00:00+02:00,732,28
Ansbach Stadt,Mittelfranken,2020-10-10T08:00:00+02:00,200,8
Aschaffenburg,Unterfranken,2020-10-10T08:00:00+02:00,735,42
Aschaffenburg Stadt,Unterfranken,2020-10-10T08:00:00+02:00,202,1
Augsburg,Schwaben,2020-10-10T08:00:00+02:00,815,11
Augsburg Stadt,Schwaben,2020-10-10T08:00:00+02:00,1151,16
Bad Kissingen,Unterfranken,2020-10-10T08:00:00+02:00,298,18
Bad Tölz-Wolfratshausen,Oberbayern,2020-10-10T08:00:00+02:00,662,10
Bamberg,Oberfranken,2020-10-10T08:00:00+02:00,547,38
Bamberg Stadt,Oberfranken,2020-10-10T08:00:00+02:00,279,22
Bayreuth,Oberfranken,2020-10-10T08:00:00+02:00,462,28
Bayreuth Stadt,Oberfranken,2020-10-10T08:00:00+02:00,291,11
Berchtesgadener Land,Oberbayern,2020-10-10T08:00:00+02:00,469,25
Cham,Oberpfalz,2020-10-10T08:00:00+02:00,548,21
Coburg,Oberfranken,2020-10-10T08:00:00+02:00,455,30
Coburg Stadt,Oberfranken,2020-10-10T08:00:00+02:00,150,4
Dachau,Oberbayern,2020-10-10T08:00:00+02:00,1299,35
Deggendorf,Niederbayern,2020-10-10T08:00:00+02:00,505,19
Dillingen an der Donau,Schwaben,2020-10-10T08:00:00+02:00,389,29
Dingolfing-Landau,Niederbayern,2020-10-10T08:00:00+02:00,1012,10
Donau-Ries,Schwaben,2020-10-10T08:00:00+02:00,523,26
Ebersberg,Oberbayern,2020-10-10T08:00:00+02:00,837,6
Eichstätt,Oberbayern,2020-10-10T08:00:00+02:00,437,20
Erding,Oberbayern,2020-10-10T08:00:00+02:00,883,11
Erlangen Stadt,Mittelfranken,2020-10-10T08:00:00+02:00,416,12
