Landkreis,Regierungsbezirk,Timestamp,Confirmed
Aichach-Friedberg,Schwaben,2020-03-20T10:00:00+01:00,18
Altötting,Oberbayern,2020-03-20T10:00:00+01:00,13
Amberg Stadt,Oberpfalz,2020-03-20T10:00:00+01:00,2
Amberg-Sulzbach,Oberpfalz,2020-03-20T10:00:00+01:00,18
Ansbach,Mittelfranken,2020-03-20T10:00:00+01:00,9
Ansbach Stadt,Mittelfranken,2020-03-20T10:00:00+01:00,3
Aschaffenburg,Unterfranken,2020-03-20T10:00:00+01:00,31
Aschaffenburg Stadt,Unterfranken,2020-03-20T10:00:00+01:00,20
Augsburg,Schwaben,2020-03-20T10:00:00+01:00,54
Augsburg Stadt,Schwaben,2020-03-20T10:00:00+01:00,37
Bad Kissingen,Unterfranken,2020-03-20T10:00:00+01:00,9
Bad Tölz-Wolfratshausen,Oberbayern,2020-03-20T10:00:00+01:00,31
Bamberg,Oberfranken,2020-03-20T10:00:00+01:00,38
Bamberg Stadt,Oberfranken,2020-03-20T10:00:00+01:00,22
Bayreuth,Oberfranken,2020-03-20T10:00:00+01:00,13
Bayreuth Stadt,Oberfranken,2020-03-20T10:00:00+01:00,2
Berchtesgadener Land,Oberbayern,2020-03-20T10:00:00+01:00,8
Cham,Oberpfalz,2020-03-20T10:00:00+01:00,40
Coburg,Oberfranken,2020-03-20T10:00:00+01:00,17
Dachau,Oberbayern,2020-03-20T10:00:00+01:00,45
Deggendorf,Niederbayern,2020-03-20T10:00:00+01:00,35
Dillingen an der Donau,Schwaben,2020-03-20T10:00:00+01:00,6
Dingolfing-Landau,Niederbayern,2020-03-20T10:00:00+01:00,22
Donau-Ries,Schwaben,2020-03-20T10:00:00+01:00,11
Ebersberg,Oberbayern,2020-03-20T10:00:00+01:00,42
Eichstätt,Oberbayern,2020-03-20T10:00:00+01:00,13
Erding,Oberbayern,2020-03-20T10:00:00+01:00,53
Erlangen Stadt,Mittelfranken,2020-03-20T10:00:00+01:00,15
Erlangen-Höchstadt,Mittelfranken,2020-03-20T10:00:00+01:00,18
Forchheim,Oberfranken,2020-03-20T10:00:00+01:00,18
Freising,Oberbayern,2020-03-20T10:00:00+01:00,164
Freyung-Grafenau,Niederbayern,2020-03-20T10:00:00+01:00,8
Fürstenfeldbruck,Oberbayern,2020-03-20T10:00:00+01:00,36
Fürth,Mittelfranken,2020-03-20T10:00:00+01:00,7
Fürth Stadt,Mittelfranken,2020-03-20T10:00:00+01:00,16
Garmisch-Partenkirchen,Oberbayern,2020-03-20T10:00:00+01:00,27
Günzburg,Schwaben,2020-03-20T10:00:00+01:00,25
Haßberge,Unterfranken,2020-03-20T10:00:00+01:00,14
Hof,Oberfranken,2020-03-20T10:00:00+01:00,19
Hof Stadt,Oberfranken,2020-03-20T10:00:00+01:00,8
Ingolstadt Stadt,Oberbayern,2020-03-20T10:00:00+01:00,4
Kaufbeuren Stadt,Schwaben,2020-03-20T10:00:00+01:00,5
Kelheim,Niederbayern,2020-03-20T10:00:00+01:00,16
Kitzingen,Unterfranken,2020-03-20T10:00:00+01:00,11
Kronach,Oberfranken,2020-03-20T10:00:00+01:00,4
Kulmbach,Oberfranken,2020-03-20T10:00:00+01:00,12
Landsberg am Lech,Oberbayern,2020-03-20T10:00:00+01:00,18
Landshut,Niederbayern,2020-03-20T10:00:00+01:00,57
Landshut Stadt,Niederbayern,2020-03-20T10:00:00+01:00,24
Lichtenfels,Oberfranken,2020-03-20T10:00:00+01:00,7
Lindau (Bodensee),Schwaben,2020-03-20T10:00:00+01:00,35
Main-Spessart,Unterfranken,2020-03-20T10:00:00+01:00,12
Memmingen Stadt,Schwaben,2020-03-20T10:00:00+01:00,9
Miesbach,Oberbayern,2020-03-20T10:00:00+01:00,58
Miltenberg,Unterfranken,2020-03-20T10:00:00+01:00,19
Mühldorf am Inn,Oberbayern,2020-03-20T10:00:00+01:00,16
München,Oberbayern,2020-03-20T10:00:00+01:00,187
München Stadt,Oberbayern,2020-03-20T10:00:00+01:00,591
Neu-Ulm,Schwaben,2020-03-20T10:00:00+01:00,29
Neuburg-Schrobenhausen,Oberbayern,2020-03-20T10:00:00+01:00,7
Neumarkt in der Oberpfalz,Oberpfalz,2020-03-20T10:00:00+01:00,18
Neustadt an der Aisch-Bad Windsheim,Mittelfranken,2020-03-20T10:00:00+01:00,7
Neustadt an der Waldnaab,Oberpfalz,2020-03-20T10:00:00+01:00,3
Nürnberg Stadt,Mittelfranken,2020-03-20T10:00:00+01:00,63
Nürnberger Land,Mittelfranken,2020-03-20T10:00:00+01:00,24
Oberallgäu,Schwaben,2020-03-20T10:00:00+01:00,47
Ostallgäu,Schwaben,2020-03-20T10:00:00+01:00,22
Passau,Niederbayern,2020-03-20T10:00:00+01:00,23
Passau Stadt,Niederbayern,2020-03-20T10:00:00+01:00,6
Pfaffenhofen an der Ilm,Oberbayern,2020-03-20T10:00:00+01:00,19
Regen,Niederbayern,2020-03-20T10:00:00+01:00,23
Regensburg,Oberpfalz,2020-03-20T10:00:00+01:00,54
