Landkreis,Regierungsbezirk,Timestamp,Confirmed,Deaths
Aichach-Friedberg,Schwaben,2021-08-19T08:00:00+02:00,5317,101
Altötting,Oberbayern,2021-08-19T08:00:00+02:00,6165,210
Amberg Stadt,Oberpfalz,2021-08-19T08:00:00+02:00,1819,24
Amberg-Sulzbach,Oberpfalz,2021-08-19T08:00:00+02:00,4907,160
Ansbach,Mittelfranken,2021-08-19T08:00:00+02:00,8502,197
Ansbach Stadt,Mittelfranken,2021-08-19T08:00:00+02:00,1909,45
Aschaffenburg,Unterfranken,2021-08-19T08:00:00+02:00,8173,214
Aschaffenburg Stadt,Unterfranken,2021-08-19T08:00:00+02:00,3628,115
Augsburg,Schwaben,2021-08-19T08:00:00+02:00,11683,235
Augsburg Stadt,Schwaben,2021-08-19T08:00:00+02:00,18568,406
Bad Kissingen,Unterfranken,2021-08-19T08:00:00+02:00,3698,104
Bad Tölz-Wolfratshausen,Oberbayern,2021-08-19T08:00:00+02:00,5238,80
Bamberg,Oberfranken,2021-08-19T08:00:00+02:00,5770,146
Bamberg Stadt,Oberfranken,2021-08-19T08:00:00+02:00,3268,108
Bayreuth,Oberfranken,2021-08-19T08:00:00+02:00,4980,163
Bayreuth Stadt,Oberfranken,2021-08-19T08:00:00+02:00,3528,110
Berchtesgadener Land,Oberbayern,2021-08-19T08:00:00+02:00,6311,102
Cham,Oberpfalz,2021-08-19T08:00:00+02:00,7212,183
Coburg,Oberfranken,2021-08-19T08:00:00+02:00,4935,161
Coburg Stadt,Oberfranken,2021-08-19T08:00:00+02:00,2428,92
Dachau,Oberbayern,2021-08-19T08:00:00+02:00,8481,143
Deggendorf,Niederbayern,2021-08-19T08:00:00+02:00,7145,160
Dillingen an der Donau,Schwaben,2021-08-19T08:00:00+02:00,3977,123
Dingolfing-Landau,Niederbayern,2021-08-19T08:00:00+02:00,6020,99
Donau-Ries,Schwaben,2021-08-19T08:00:00+02:00,6134,165
Ebersberg,Oberbayern,2021-08-19T08:00:00+02:00,6513,181
Eichstätt,Oberbayern,2021-08-19T08:00:00+02:00,5238,86
Erding,Oberbayern,2021-08-19T08:00:00+02:00,7141,119
