Landkreis,Regierungsbezirk,Timestamp,Confirmed
Aichach-Friedberg,Schwaben,2020-03-22T10:00:00+01:00,21
Altötting,Oberbayern,2020-03-22T10:00:00+01:00,27
Amberg Stadt,Oberpfalz,2020-03-22T10:00:00+01:00,2
Amberg-Sulzbach,Oberpfalz,2020-03-22T10:00:00+01:00,18
Ansbach,Mittelfranken,2020-03-22T10:00:00+01:00,38
Ansbach Stadt,Mittelfranken,2020-03-22T10:00:00+01:00,3
Aschaffenburg,Unterfranken,2020-03-22T10:00:00+01:00,49
Aschaffenburg Stadt,Unterfranken,2020-03-22T10:00:00+01:00,26
Augsburg,Schwaben,2020-03-22T10:00:00+01:00,54
Augsburg Stadt,Schwaben,2020-03-22T10:00:00+01:00,46
Bad Kissingen,Unterfranken,2020-03-22T10:00:00+01:00,14
Bad Tölz-Wolfratshausen,Oberbayern,2020-03-22T10:00:00+01:00,49
Bamberg,Oberfranken,2020-03-22T10:00:00+01:00,40
Bamberg Stadt,Oberfranken,2020-03-22T10:00:00+01:00,22
Bayreuth,Oberfranken,2020-03-22T10:00:00+01:00,26
Bayreuth Stadt,Oberfranken,2020-03-22T10:00:00+01:00,7
Berchtesgadener Land,Oberbayern,2020-03-22T10:00:00+01:00,8
Cham,Oberpfalz,2020-03-22T10:00:00+01:00,68
Coburg,Oberfranken,2020-03-22T10:00:00+01:00,27
Dachau,Oberbayern,2020-03-22T10:00:00+01:00,45
Deggendorf,Niederbayern,2020-03-22T10:00:00+01:00,52
Dillingen an der Donau,Schwaben,2020-03-22T10:00:00+01:00,8
Dingolfing-Landau,Niederbayern,2020-03-22T10:00:00+01:00,35
Donau-Ries,Schwaben,2020-03-22T10:00:00+01:00,10
Ebersberg,Oberbayern,2020-03-22T10:00:00+01:00,52
Eichstätt,Oberbayern,2020-03-22T10:00:00+01:00,24
Erding,Oberbayern,2020-03-22T10:00:00+01:00,67
Erlangen Stadt,Mittelfranken,2020-03-22T10:00:00+01:00,19
Erlangen-Höchstadt,Mittelfranken,2020-03-22T10:00:00+01:00,25
Forchheim,Oberfranken,2020-03-22T10:00:00+01:00,19
Freising,Oberbayern,2020-03-22T10:00:00+01:00,218
Freyung-Grafenau,Niederbayern,2020-03-22T10:00:00+01:00,10
Fürstenfeldbruck,Oberbayern,2020-03-22T10:00:00+01:00,51
Fürth,Mittelfranken,2020-03-22T10:00:00+01:00,18
Fürth Stadt,Mittelfranken,2020-03-22T10:00:00+01:00,22
Garmisch-Partenkirchen,Oberbayern,2020-03-22T10:00:00+01:00,37
Günzburg,Schwaben,2020-03-22T10:00:00+01:00,25
Haßberge,Unterfranken,2020-03-22T10:00:00+01:00,17
Hof,Oberfranken,2020-03-22T10:00:00+01:00,33
Hof Stadt,Oberfranken,2020-03-22T10:00:00+01:00,11
Ingolstadt Stadt,Oberbayern,2020-03-22T10:00:00+01:00,5
Kaufbeuren Stadt,Schwaben,2020-03-22T10:00:00+01:00,6
Kelheim,Niederbayern,2020-03-22T10:00:00+01:00,40
Kitzingen,Unterfranken,2020-03-22T10:00:00+01:00,13
Kronach,Oberfranken,2020-03-22T10:00:00+01:00,13
Kulmbach,Oberfranken,2020-03-22T10:00:00+01:00,21
Landsberg am Lech,Oberbayern,2020-03-22T10:00:00+01:00,44
Landshut,Niederbayern,2020-03-22T10:00:00+01:00,93
Landshut Stadt,Niederbayern,2020-03-22T10:00:00+01:00,32
Lichtenfels,Oberfranken,2020-03-22T10:00:00+01:00,20
Lindau (Bodensee),Schwaben,2020-03-22T10:00:00+01:00,49
Main-Spessart,Unterfranken,2020-03-22T10:00:00+01:00,14
