Landkreis,Regierungsbezirk,Timestamp,Confirmed
Aichach-Friedberg,Schwaben,2020-03-17T12:00:00+01:00,12
Amberg Stadt,Oberpfalz,2020-03-17T12:00:00+01:00,2
Amberg-Sulzbach,Oberpfalz,2020-03-17T12:00:00+01:00,13
Ansbach,Mittelfranken,2020-03-17T12:00:00+01:00,3
Aschaffenburg,Unterfranken,2020-03-17T12:00:00+01:00,16
Aschaffenburg Stadt,Unterfranken,2020-03-17T12:00:00+01:00,19
Augsburg,Schwaben,2020-03-17T12:00:00+01:00,25
Augsburg Stadt,Schwaben,2020-03-17T12:00:00+01:00,15
Bad Kissingen,Unterfranken,2020-03-17T12:00:00+01:00,7
Bad Tölz-Wolfratshausen,Oberbayern,2020-03-17T12:00:00+01:00,11
Bamberg,Oberfranken,2020-03-17T12:00:00+01:00,9
Bamberg Stadt,Oberfranken,2020-03-17T12:00:00+01:00,2
Bayreuth,Oberfranken,2020-03-17T12:00:00+01:00,6
Berchtesgadener Land,Oberbayern,2020-03-17T12:00:00+01:00,9
Cham,Oberpfalz,2020-03-17T12:00:00+01:00,23
Coburg,Oberfranken,2020-03-17T12:00:00+01:00,8
Dachau,Oberbayern,2020-03-17T12:00:00+01:00,15
Deggendorf,Niederbayern,2020-03-17T12:00:00+01:00,18
Dingolfing-Landau,Niederbayern,2020-03-17T12:00:00+01:00,14
Donau-Ries,Schwaben,2020-03-17T12:00:00+01:00,9
Ebersberg,Oberbayern,2020-03-17T12:00:00+01:00,29
Eichstätt,Oberbayern,2020-03-17T12:00:00+01:00,2
Erding,Oberbayern,2020-03-17T12:00:00+01:00,18
Erlangen Stadt,Mittelfranken,2020-03-17T12:00:00+01:00,6
Erlangen-Höchstadt,Mittelfranken,2020-03-17T12:00:00+01:00,10
Forchheim,Oberfranken,2020-03-17T12:00:00+01:00,7
Freising,Oberbayern,2020-03-17T12:00:00+01:00,93
Freyung-Grafenau,Niederbayern,2020-03-17T12:00:00+01:00,7
Fürstenfeldbruck,Oberbayern,2020-03-17T12:00:00+01:00,22
Fürth,Mittelfranken,2020-03-17T12:00:00+01:00,3
Fürth Stadt,Mittelfranken,2020-03-17T12:00:00+01:00,9
Haßberge,Unterfranken,2020-03-17T12:00:00+01:00,8
Hof,Oberfranken,2020-03-17T12:00:00+01:00,6
Hof Stadt,Oberfranken,2020-03-17T12:00:00+01:00,4
Ingolstadt Stadt,Oberbayern,2020-03-17T12:00:00+01:00,2
Kaufbeuren Stadt,Schwaben,2020-03-17T12:00:00+01:00,4
Kelheim,Niederbayern,2020-03-17T12:00:00+01:00,4
Kitzingen,Unterfranken,2020-03-17T12:00:00+01:00,5
Kronach,Oberfranken,2020-03-17T12:00:00+01:00,3
Kulmbach,Oberfranken,2020-03-17T12:00:00+01:00,1
Landsberg am Lech,Oberbayern,2020-03-17T12:00:00+01:00,10
Landshut,Niederbayern,2020-03-17T12:00:00+01:00,8
Landshut Stadt,Niederbayern,2020-03-17T12:00:00+01:00,4
Lichtenfels,Oberfranken,2020-03-17T12:00:00+01:00,3
Lindau (Bodensee),Schwaben,2020-03-17T12:00:00+01:00,19
Main-Spessart,Unterfranken,2020-03-17T12:00:00+01:00,8
Memmingen Stadt,Schwaben,2020-03-17T12:00:00+01:00,3
Miesbach,Oberbayern,2020-03-17T12:00:00+01:00,32
Miltenberg,Unterfranken,2020-03-17T12:00:00+01:00,5
Mühldorf am Inn,Oberbayern,2020-03-17T12:00:00+01:00,1
München,Oberbayern,2020-03-17T12:00:00+01:00,75
München Stadt,Oberbayern,2020-03-17T12:00:00+01:00,204
Neu-Ulm,Schwaben,2020-03-17T12:00:00+01:00,10
Neumarkt in der Oberpfalz,Oberpfalz,2020-03-17T12:00:00+01:00,11
Neustadt an der Aisch-Bad Windsheim,Mittelfranken,2020-03-17T12:00:00+01:00,4
Neustadt an der Waldnaab,Oberpfalz,2020-03-17T12:00:00+01:00,1
Nürnberg Stadt,Mittelfranken,2020-03-17T12:00:00+01:00,28
Nürnberger Land,Mittelfranken,2020-03-17T12:00:00+01:00,7
Oberallgäu,Schwaben,2020-03-17T12:00:00+01:00,33
Ostallgäu,Schwaben,2020-03-17T12:00:00+01:00,14
Passau,Niederbayern,2020-03-17T12:00:00+01:00,15
Passau Stadt,Niederbayern,2020-03-17T12:00:00+01:00,3
Pfaffenhofen an der Ilm,Oberbayern,2020-03-17T12:00:00+01:00,11
Regen,Niederbayern,2020-03-17T12:00:00+01:00,18
Regensburg,Oberpfalz,2020-03-17T12:00:00+01:00,19
Regensburg Stadt,Oberpfalz,2020-03-17T12:00:00+01:00,17
Rosenheim,Oberbayern,2020-03-17T12:00:00+01:00,35
Rosenheim Stadt,Oberbayern,2020-03-17T12:00:00+01:00,1
