Regierungsbezirk,Timestamp,Confirmed
Oberbayern,2020-03-24T10:00:00+01:00,3282
Niederbayern,2020-03-24T10:00:00+01:00,574
Oberpfalz,2020-03-24T10:00:00+01:00,611
Oberfranken,2020-03-24T10:00:00+01:00,382
Mittelfranken,2020-03-24T10:00:00+01:00,405
Unterfranken,2020-03-24T10:00:00+01:00,535
Schwaben,2020-03-24T10:00:00+01:00,573
