Regierungsbezirk,Timestamp,Confirmed,Deaths
Oberbayern,2021-03-21T08:00:00+01:00,171076,3875
Niederbayern,2021-03-21T08:00:00+01:00,53476,1598
Oberpfalz,2021-03-21T08:00:00+01:00,42075,1197
Oberfranken,2021-03-21T08:00:00+01:00,40737,1401
Mittelfranken,2021-03-21T08:00:00+01:00,65833,2187
Unterfranken,2021-03-21T08:00:00+01:00,38194,1217
Schwaben,2021-03-21T08:00:00+01:00,61101,1496
