Area,Date,Deaths
Altötting,2020-03-26T10:00:00+01:00,1
Amberg-Sulzbach,2020-03-26T10:00:00+01:00,2
Aschaffenburg,2020-03-26T10:00:00+01:00,1
Augsburg Stadt,2020-03-26T10:00:00+01:00,2
Bamberg,2020-03-26T10:00:00+01:00,1
Bayreuth,2020-03-26T10:00:00+01:00,1
Dillingen a.d.Donau,2020-03-26T10:00:00+01:00,1
Erlangen-Höchstadt,2020-03-26T10:00:00+01:00,1
Forchheim,2020-03-26T10:00:00+01:00,1
Freising,2020-03-26T10:00:00+01:00,3
Freyung-Grafenau,2020-03-26T10:00:00+01:00,1
Kempten,2020-03-26T10:00:00+01:00,1
Kelheim,2020-03-26T10:00:00+01:00,2
Landshut,2020-03-26T10:00:00+01:00,1
Landsberg a.Lech,2020-03-26T10:00:00+01:00,1
Lindau,2020-03-26T10:00:00+01:00,1
Main-Spessart,2020-03-26T10:00:00+01:00,1
München,2020-03-26T10:00:00+01:00,1
München Stadt,2020-03-26T10:00:00+01:00,2
Neustadt a.d.Waldnaab,2020-03-26T10:00:00+01:00,2
Neu-Ulm,2020-03-26T10:00:00+01:00,1
Nürnberger Land,2020-03-26T10:00:00+01:00,2
Oberallgäu,2020-03-26T10:00:00+01:00,1
Ostallgäu,2020-03-26T10:00:00+01:00,2
Regensburg Stadt,2020-03-26T10:00:00+01:00,1
Rosenheim,2020-03-26T10:00:00+01:00,1
Starnberg,2020-03-26T10:00:00+01:00,1
Tirschenreuth,2020-03-26T10:00:00+01:00,5
Traunstein,2020-03-26T10:00:00+01:00,2
Unterallgäu,2020-03-26T10:00:00+01:00,2
Weilheim-Schongau,2020-03-26T10:00:00+01:00,1
Wunsiedel i.Fichtelgebirge,2020-03-26T10:00:00+01:00,2
Würzburg,2020-03-26T10:00:00+01:00,1
Würzburg Stadt,2020-03-26T10:00:00+01:00,10
