Area,Date,Confirmed
Oberbayern,2020-03-22T10:00:00+01:00,2086
Niederbayern,2020-03-22T10:00:00+01:00,445
Oberpfalz,2020-03-22T10:00:00+01:00,483
Oberfranken,2020-03-22T10:00:00+01:00,286
Mittelfranken,2020-03-22T10:00:00+01:00,294
Unterfranken,2020-03-22T10:00:00+01:00,434
Schwaben,2020-03-22T10:00:00+01:00,429
