Area,Date,Confirmed,Deaths
Aichach-Friedberg,2020-03-29T10:00:00+02:00,105,1
Altötting,2020-03-29T10:00:00+02:00,103,3
Amberg Stadt,2020-03-29T10:00:00+02:00,9,0
Amberg-Sulzbach,2020-03-29T10:00:00+02:00,56,3
Ansbach,2020-03-29T10:00:00+02:00,120,0
Ansbach Stadt,2020-03-29T10:00:00+02:00,18,0
Aschaffenburg,2020-03-29T10:00:00+02:00,111,1
Aschaffenburg Stadt,2020-03-29T10:00:00+02:00,46,0
Augsburg,2020-03-29T10:00:00+02:00,135,0
Augsburg Stadt,2020-03-29T10:00:00+02:00,139,2
Bad Kissingen,2020-03-29T10:00:00+02:00,63,0
Bad Tölz,2020-03-29T10:00:00+02:00,142,0
Bamberg,2020-03-29T10:00:00+02:00,144,1
Bamberg Stadt,2020-03-29T10:00:00+02:00,55,0
Bayreuth,2020-03-29T10:00:00+02:00,96,2
Bayreuth Stadt,2020-03-29T10:00:00+02:00,46,1
Berchtesgadener Land,2020-03-29T10:00:00+02:00,67,0
Cham,2020-03-29T10:00:00+02:00,141,0
Coburg,2020-03-29T10:00:00+02:00,46,0
Coburg Stadt,2020-03-29T10:00:00+02:00,16,0
Dachau,2020-03-29T10:00:00+02:00,171,1
Deggendorf,2020-03-29T10:00:00+02:00,113,2
Dillingen a.d. Donau,2020-03-29T10:00:00+02:00,38,1
Dingolfing-Landau,2020-03-29T10:00:00+02:00,89,0
Donau-Ries,2020-03-29T10:00:00+02:00,76,2
Ebersberg,2020-03-29T10:00:00+02:00,168,0
Eichstätt,2020-03-29T10:00:00+02:00,71,0
Erding,2020-03-29T10:00:00+02:00,261,0
Erlangen Stadt,2020-03-29T10:00:00+02:00,52,0
Erlangen-Höchstadt,2020-03-29T10:00:00+02:00,55,1
Forchheim,2020-03-29T10:00:00+02:00,78,1
Freising,2020-03-29T10:00:00+02:00,433,5
Freyung-Grafenau,2020-03-29T10:00:00+02:00,79,1
Fürstenfeldbruck,2020-03-29T10:00:00+02:00,249,0
Fürth,2020-03-29T10:00:00+02:00,78,3
Fürth Stadt,2020-03-29T10:00:00+02:00,72,0
Garmisch-Partenkirchen,2020-03-29T10:00:00+02:00,95,0
Günzburg,2020-03-29T10:00:00+02:00,90,0
Haßberge,2020-03-29T10:00:00+02:00,45,0
Hof,2020-03-29T10:00:00+02:00,90,0
Hof Stadt,2020-03-29T10:00:00+02:00,26,0
Ingolstadt Stadt,2020-03-29T10:00:00+02:00,73,0
Kaufbeuren Stadt,2020-03-29T10:00:00+02:00,30,0
Kelheim,2020-03-29T10:00:00+02:00,122,2
Kempten Stadt,2020-03-29T10:00:00+02:00,37,2
Kitzingen,2020-03-29T10:00:00+02:00,29,0
Kronach,2020-03-29T10:00:00+02:00,44,0
Kulmbach,2020-03-29T10:00:00+02:00,61,0
Landsberg am Lech,2020-03-29T10:00:00+02:00,124,2
Landshut,2020-03-29T10:00:00+02:00,225,1
Landshut Stadt,2020-03-29T10:00:00+02:00,76,0
Lichtenfels,2020-03-29T10:00:00+02:00,74,0
Lindau (Bodensee),2020-03-29T10:00:00+02:00,102,1
Main-Spessart,2020-03-29T10:00:00+02:00,55,1
Memmingen Stadt,2020-03-29T10:00:00+02:00,26,0
Miesbach,2020-03-29T10:00:00+02:00,271,0
Miltenberg,2020-03-29T10:00:00+02:00,86,0
Mühldorf a.Inn,2020-03-29T10:00:00+02:00,123,1
München,2020-03-29T10:00:00+02:00,538,2
München Stadt,2020-03-29T10:00:00+02:00,2078,3
Neu-Ulm,2020-03-29T10:00:00+02:00,126,1
Neuburg-Schrobenhausen,2020-03-29T10:00:00+02:00,69,0
Neumarkt i.d.Opf.,2020-03-29T10:00:00+02:00,80,1
Neustadt a.d. Aisch-Bad Windsheim,2020-03-29T10:00:00+02:00,50,0
Neustadt a.d. Waldnaab,2020-03-29T10:00:00+02:00,152,2
Nürnberg Stadt,2020-03-29T10:00:00+02:00,223,0
Nürnberger Land,2020-03-29T10:00:00+02:00,144,3
Oberallgäu,2020-03-29T10:00:00+02:00,86,1
Ostallgäu,2020-03-29T10:00:00+02:00,133,3
Passau,2020-03-29T10:00:00+02:00,108,1
Passau Stadt,2020-03-29T10:00:00+02:00,37,1
Pfaffenhofen a.d.Ilm,2020-03-29T10:00:00+02:00,100,0
Regen,2020-03-29T10:00:00+02:00,40,0
Regensburg,2020-03-29T10:00:00+02:00,147,0
Regensburg Stadt,2020-03-29T10:00:00+02:00,152,1
Rhön-Grabfeld,2020-03-29T10:00:00+02:00,34,0
Rosenheim,2020-03-29T10:00:00+02:00,691,6
Rosenheim Stadt,2020-03-29T10:00:00+02:00,119,0
Roth,2020-03-29T10:00:00+02:00,80,1
Rottal-Inn,2020-03-29T10:00:00+02:00,207,0
Schwabach Stadt,2020-03-29T10:00:00+02:00,24,0
Schwandorf,2020-03-29T10:00:00+02:00,87,1
Schweinfurt,2020-03-29T10:00:00+02:00,81,0
Schweinfurt Stadt,2020-03-29T10:00:00+02:00,27,2
Starnberg,2020-03-29T10:00:00+02:00,245,1
Straubing Stadt,2020-03-29T10:00:00+02:00,69,0
Straubing-Bogen,2020-03-29T10:00:00+02:00,75,0
Tirschenreuth,2020-03-29T10:00:00+02:00,398,17
Traunstein,2020-03-29T10:00:00+02:00,191,3
Unterallgäu,2020-03-29T10:00:00+02:00,110,2
Weiden Stadt,2020-03-29T10:00:00+02:00,61,0
Weilheim-Schongau,2020-03-29T10:00:00+02:00,183,1
Weißenburg-Gunzenhausen,2020-03-29T10:00:00+02:00,88,1
Wunsiedel i.Fichtelgebirge,2020-03-29T10:00:00+02:00,154,2
Würzburg,2020-03-29T10:00:00+02:00,188,0
Würzburg Stadt,2020-03-29T10:00:00+02:00,243,13
