Area,Date,Confirmed
Aichach-Friedberg,2020-03-16T12:00:00+01:00,10
Amberg Stadt,2020-03-16T12:00:00+01:00,1
Amberg-Sulzbach,2020-03-16T12:00:00+01:00,7
Aschaffenburg,2020-03-16T12:00:00+01:00,3
Aschaffenburg Stadt,2020-03-16T12:00:00+01:00,6
Augsburg,2020-03-16T12:00:00+01:00,25
Augsburg Stadt,2020-03-16T12:00:00+01:00,9
Bad Kissingen,2020-03-16T12:00:00+01:00,3
Bad Tölz,2020-03-16T12:00:00+01:00,10
Bamberg,2020-03-16T12:00:00+01:00,9
Bamberg Stadt,2020-03-16T12:00:00+01:00,2
Bayreuth,2020-03-16T12:00:00+01:00,5
Cham,2020-03-16T12:00:00+01:00,21
Coburg,2020-03-16T12:00:00+01:00,4
Dachau,2020-03-16T12:00:00+01:00,14
Deggendorf,2020-03-16T12:00:00+01:00,5
Dingolfing-Landau,2020-03-16T12:00:00+01:00,13
Donau-Ries,2020-03-16T12:00:00+01:00,3
Ebersberg,2020-03-16T12:00:00+01:00,27
Eichstätt,2020-03-16T12:00:00+01:00,2
Erding,2020-03-16T12:00:00+01:00,17
Erlangen Stadt,2020-03-16T12:00:00+01:00,6
Erlangen-Höchstadt,2020-03-16T12:00:00+01:00,10
Forchheim,2020-03-16T12:00:00+01:00,4
Freising,2020-03-16T12:00:00+01:00,74
Fürstenfeldbruck,2020-03-16T12:00:00+01:00,22
Fürth,2020-03-16T12:00:00+01:00,3
Fürth Stadt,2020-03-16T12:00:00+01:00,9
Haßberge,2020-03-16T12:00:00+01:00,6
Hof,2020-03-16T12:00:00+01:00,4
Hof Stadt,2020-03-16T12:00:00+01:00,3
Ingolstadt Stadt,2020-03-16T12:00:00+01:00,1
Kaufbeuren Stadt,2020-03-16T12:00:00+01:00,1
Kelheim,2020-03-16T12:00:00+01:00,4
Kitzingen,2020-03-16T12:00:00+01:00,4
Kronach,2020-03-16T12:00:00+01:00,2
Kulmbach,2020-03-16T12:00:00+01:00,1
Landsberg am Lech,2020-03-16T12:00:00+01:00,5
Landshut,2020-03-16T12:00:00+01:00,8
Landshut Stadt,2020-03-16T12:00:00+01:00,4
Lichtenfels,2020-03-16T12:00:00+01:00,1
Lindau (Bodensee),2020-03-16T12:00:00+01:00,19
Main-Spessart,2020-03-16T12:00:00+01:00,5
Memmingen Stadt,2020-03-16T12:00:00+01:00,1
Miesbach,2020-03-16T12:00:00+01:00,15
Miltenberg,2020-03-16T12:00:00+01:00,4
München,2020-03-16T12:00:00+01:00,66
München Stadt,2020-03-16T12:00:00+01:00,187
Neu-Ulm,2020-03-16T12:00:00+01:00,10
Neumarkt i.d.Opf.,2020-03-16T12:00:00+01:00,5
Neustadt a.d. Aisch-Bad Windsheim,2020-03-16T12:00:00+01:00,4
Neustadt a.d. Waldnaab,2020-03-16T12:00:00+01:00,1
Nürnberg Stadt,2020-03-16T12:00:00+01:00,24
Nürnberger Land,2020-03-16T12:00:00+01:00,6
Oberallgäu,2020-03-16T12:00:00+01:00,27
Ostallgäu,2020-03-16T12:00:00+01:00,10
Passau,2020-03-16T12:00:00+01:00,15
Passau Stadt,2020-03-16T12:00:00+01:00,3
Pfaffenhofen a.d.Ilm,2020-03-16T12:00:00+01:00,10
Regen,2020-03-16T12:00:00+01:00,15
Regensburg,2020-03-16T12:00:00+01:00,8
Regensburg Stadt,2020-03-16T12:00:00+01:00,6
Rosenheim,2020-03-16T12:00:00+01:00,27
Rosenheim Stadt,2020-03-16T12:00:00+01:00,1
Roth,2020-03-16T12:00:00+01:00,5
Rottal-Inn,2020-03-16T12:00:00+01:00,14
Schwabach Stadt,2020-03-16T12:00:00+01:00,2
Schwandorf,2020-03-16T12:00:00+01:00,12
Schweinfurt,2020-03-16T12:00:00+01:00,5
Starnberg,2020-03-16T12:00:00+01:00,44
Straubing Stadt,2020-03-16T12:00:00+01:00,6
Straubing-Bogen,2020-03-16T12:00:00+01:00,3
Tirschenreuth,2020-03-16T12:00:00+01:00,17
Traunstein,2020-03-16T12:00:00+01:00,13
Unterallgäu,2020-03-16T12:00:00+01:00,16
Weiden Stadt,2020-03-16T12:00:00+01:00,6
Weilheim-Schongau,2020-03-16T12:00:00+01:00,17
Weißenburg-Gunzenhausen,2020-03-16T12:00:00+01:00,2
Wunsiedel i.Fichtelgebirge,2020-03-16T12:00:00+01:00,2
Würzburg,2020-03-16T12:00:00+01:00,36
Würzburg Stadt,2020-03-16T12:00:00+01:00,30
