Area,Date,Confirmed
Aichach-Friedberg,2020-03-20T10:00:00+01:00,18
Altötting,2020-03-20T10:00:00+01:00,13
Amberg Stadt,2020-03-20T10:00:00+01:00,2
Amberg-Sulzbach,2020-03-20T10:00:00+01:00,18
Ansbach,2020-03-20T10:00:00+01:00,9
Ansbach Stadt,2020-03-20T10:00:00+01:00,3
Aschaffenburg,2020-03-20T10:00:00+01:00,31
Aschaffenburg Stadt,2020-03-20T10:00:00+01:00,20
Augsburg,2020-03-20T10:00:00+01:00,54
Augsburg Stadt,2020-03-20T10:00:00+01:00,37
Bad Kissingen,2020-03-20T10:00:00+01:00,9
Bad Tölz,2020-03-20T10:00:00+01:00,31
Bamberg,2020-03-20T10:00:00+01:00,38
Bamberg Stadt,2020-03-20T10:00:00+01:00,22
Bayreuth,2020-03-20T10:00:00+01:00,13
Bayreuth Stadt,2020-03-20T10:00:00+01:00,2
Berchtesgadener Land,2020-03-20T10:00:00+01:00,8
Cham,2020-03-20T10:00:00+01:00,40
Coburg,2020-03-20T10:00:00+01:00,17
Dachau,2020-03-20T10:00:00+01:00,45
Deggendorf,2020-03-20T10:00:00+01:00,35
Dillingen a.d. Donau,2020-03-20T10:00:00+01:00,6
Dingolfing-Landau,2020-03-20T10:00:00+01:00,22
Donau-Ries,2020-03-20T10:00:00+01:00,11
Ebersberg,2020-03-20T10:00:00+01:00,42
Eichstätt,2020-03-20T10:00:00+01:00,13
Erding,2020-03-20T10:00:00+01:00,53
Erlangen Stadt,2020-03-20T10:00:00+01:00,15
Erlangen-Höchstadt,2020-03-20T10:00:00+01:00,18
Forchheim,2020-03-20T10:00:00+01:00,18
Freising,2020-03-20T10:00:00+01:00,164
Freyung-Grafenau,2020-03-20T10:00:00+01:00,8
Fürstenfeldbruck,2020-03-20T10:00:00+01:00,36
Fürth,2020-03-20T10:00:00+01:00,7
Fürth Stadt,2020-03-20T10:00:00+01:00,16
Garmisch-Partenkirchen,2020-03-20T10:00:00+01:00,27
Günzburg,2020-03-20T10:00:00+01:00,25
Haßberge,2020-03-20T10:00:00+01:00,14
Hof,2020-03-20T10:00:00+01:00,19
Hof Stadt,2020-03-20T10:00:00+01:00,8
Ingolstadt Stadt,2020-03-20T10:00:00+01:00,4
Kaufbeuren Stadt,2020-03-20T10:00:00+01:00,5
Kelheim,2020-03-20T10:00:00+01:00,16
Kitzingen,2020-03-20T10:00:00+01:00,11
Kronach,2020-03-20T10:00:00+01:00,4
Kulmbach,2020-03-20T10:00:00+01:00,12
Landsberg am Lech,2020-03-20T10:00:00+01:00,18
Landshut,2020-03-20T10:00:00+01:00,57
Landshut Stadt,2020-03-20T10:00:00+01:00,24
Lichtenfels,2020-03-20T10:00:00+01:00,7
Lindau (Bodensee),2020-03-20T10:00:00+01:00,35
Main-Spessart,2020-03-20T10:00:00+01:00,12
Memmingen Stadt,2020-03-20T10:00:00+01:00,9
Miesbach,2020-03-20T10:00:00+01:00,58
Miltenberg,2020-03-20T10:00:00+01:00,19
Mühldorf a.Inn,2020-03-20T10:00:00+01:00,16
München,2020-03-20T10:00:00+01:00,187
München Stadt,2020-03-20T10:00:00+01:00,591
Neu-Ulm,2020-03-20T10:00:00+01:00,29
Neuburg-Schrobenhausen,2020-03-20T10:00:00+01:00,7
Neumarkt i.d.Opf.,2020-03-20T10:00:00+01:00,18
Neustadt a.d. Aisch-Bad Windsheim,2020-03-20T10:00:00+01:00,7
Neustadt a.d. Waldnaab,2020-03-20T10:00:00+01:00,3
Nürnberg Stadt,2020-03-20T10:00:00+01:00,63
Nürnberger Land,2020-03-20T10:00:00+01:00,24
Oberallgäu,2020-03-20T10:00:00+01:00,47
Ostallgäu,2020-03-20T10:00:00+01:00,22
Passau,2020-03-20T10:00:00+01:00,23
Passau Stadt,2020-03-20T10:00:00+01:00,6
Pfaffenhofen a.d.Ilm,2020-03-20T10:00:00+01:00,19
Regen,2020-03-20T10:00:00+01:00,23
Regensburg,2020-03-20T10:00:00+01:00,54
Regensburg Stadt,2020-03-20T10:00:00+01:00,64
Rhön-Grabfeld,2020-03-20T10:00:00+01:00,8
Rosenheim,2020-03-20T10:00:00+01:00,66
Rosenheim Stadt,2020-03-20T10:00:00+01:00,1
Roth,2020-03-20T10:00:00+01:00,12
Rottal-Inn,2020-03-20T10:00:00+01:00,51
Schwabach Stadt,2020-03-20T10:00:00+01:00,8
Schwandorf,2020-03-20T10:00:00+01:00,23
Schweinfurt,2020-03-20T10:00:00+01:00,16
Schweinfurt Stadt,2020-03-20T10:00:00+01:00,4
Starnberg,2020-03-20T10:00:00+01:00,69
Straubing Stadt,2020-03-20T10:00:00+01:00,19
Straubing-Bogen,2020-03-20T10:00:00+01:00,20
Tirschenreuth,2020-03-20T10:00:00+01:00,60
Traunstein,2020-03-20T10:00:00+01:00,34
Unterallgäu,2020-03-20T10:00:00+01:00,27
Weiden Stadt,2020-03-20T10:00:00+01:00,7
Weilheim-Schongau,2020-03-20T10:00:00+01:00,48
Weißenburg-Gunzenhausen,2020-03-20T10:00:00+01:00,8
Wunsiedel i.Fichtelgebirge,2020-03-20T10:00:00+01:00,16
Würzburg,2020-03-20T10:00:00+01:00,74
Würzburg Stadt,2020-03-20T10:00:00+01:00,55
