Area,Date,Confirmed
Aichach-Friedberg,2020-03-23T10:00:00+01:00,28
Altötting,2020-03-23T10:00:00+01:00,36
Amberg Stadt,2020-03-23T10:00:00+01:00,5
Amberg-Sulzbach,2020-03-23T10:00:00+01:00,27
Ansbach,2020-03-23T10:00:00+01:00,45
Ansbach Stadt,2020-03-23T10:00:00+01:00,3
Aschaffenburg,2020-03-23T10:00:00+01:00,50
Aschaffenburg Stadt,2020-03-23T10:00:00+01:00,28
Augsburg,2020-03-23T10:00:00+01:00,59
Augsburg Stadt,2020-03-23T10:00:00+01:00,59
Bad Kissingen,2020-03-23T10:00:00+01:00,21
Bad Tölz,2020-03-23T10:00:00+01:00,54
Bamberg,2020-03-23T10:00:00+01:00,41
Bamberg Stadt,2020-03-23T10:00:00+01:00,22
Bayreuth,2020-03-23T10:00:00+01:00,26
Bayreuth Stadt,2020-03-23T10:00:00+01:00,7
Berchtesgadener Land,2020-03-23T10:00:00+01:00,8
Cham,2020-03-23T10:00:00+01:00,73
Coburg,2020-03-23T10:00:00+01:00,32
Dachau,2020-03-23T10:00:00+01:00,69
Deggendorf,2020-03-23T10:00:00+01:00,55
Dillingen a.d. Donau,2020-03-23T10:00:00+01:00,17
Dingolfing-Landau,2020-03-23T10:00:00+01:00,39
Donau-Ries,2020-03-23T10:00:00+01:00,10
Ebersberg,2020-03-23T10:00:00+01:00,60
Eichstätt,2020-03-23T10:00:00+01:00,25
Erding,2020-03-23T10:00:00+01:00,104
Erlangen Stadt,2020-03-23T10:00:00+01:00,24
Erlangen-Höchstadt,2020-03-23T10:00:00+01:00,27
Forchheim,2020-03-23T10:00:00+01:00,25
Freising,2020-03-23T10:00:00+01:00,236
Freyung-Grafenau,2020-03-23T10:00:00+01:00,16
Fürstenfeldbruck,2020-03-23T10:00:00+01:00,51
Fürth,2020-03-23T10:00:00+01:00,19
Fürth Stadt,2020-03-23T10:00:00+01:00,24
Garmisch-Partenkirchen,2020-03-23T10:00:00+01:00,43
Günzburg,2020-03-23T10:00:00+01:00,25
Haßberge,2020-03-23T10:00:00+01:00,17
Hof,2020-03-23T10:00:00+01:00,34
Hof Stadt,2020-03-23T10:00:00+01:00,11
Ingolstadt Stadt,2020-03-23T10:00:00+01:00,5
Kaufbeuren Stadt,2020-03-23T10:00:00+01:00,6
Kelheim,2020-03-23T10:00:00+01:00,48
Kitzingen,2020-03-23T10:00:00+01:00,14
Kronach,2020-03-23T10:00:00+01:00,16
Kulmbach,2020-03-23T10:00:00+01:00,21
Landsberg am Lech,2020-03-23T10:00:00+01:00,48
Landshut,2020-03-23T10:00:00+01:00,109
Landshut Stadt,2020-03-23T10:00:00+01:00,38
Lichtenfels,2020-03-23T10:00:00+01:00,21
Lindau (Bodensee),2020-03-23T10:00:00+01:00,51
Main-Spessart,2020-03-23T10:00:00+01:00,15
Memmingen Stadt,2020-03-23T10:00:00+01:00,15
Miesbach,2020-03-23T10:00:00+01:00,136
Miltenberg,2020-03-23T10:00:00+01:00,47
Mühldorf a.Inn,2020-03-23T10:00:00+01:00,38
München,2020-03-23T10:00:00+01:00,266
München Stadt,2020-03-23T10:00:00+01:00,1237
Neu-Ulm,2020-03-23T10:00:00+01:00,66
Neuburg-Schrobenhausen,2020-03-23T10:00:00+01:00,28
Neumarkt i.d.Opf.,2020-03-23T10:00:00+01:00,18
Neustadt a.d. Aisch-Bad Windsheim,2020-03-23T10:00:00+01:00,20
Neustadt a.d. Waldnaab,2020-03-23T10:00:00+01:00,30
Nürnberg Stadt,2020-03-23T10:00:00+01:00,87
Nürnberger Land,2020-03-23T10:00:00+01:00,60
Oberallgäu,2020-03-23T10:00:00+01:00,61
Ostallgäu,2020-03-23T10:00:00+01:00,40
Passau,2020-03-23T10:00:00+01:00,36
Passau Stadt,2020-03-23T10:00:00+01:00,15
Pfaffenhofen a.d.Ilm,2020-03-23T10:00:00+01:00,32
Regen,2020-03-23T10:00:00+01:00,25
Regensburg,2020-03-23T10:00:00+01:00,85
Regensburg Stadt,2020-03-23T10:00:00+01:00,90
Rhön-Grabfeld,2020-03-23T10:00:00+01:00,16
Rosenheim,2020-03-23T10:00:00+01:00,219
Rosenheim Stadt,2020-03-23T10:00:00+01:00,48
Roth,2020-03-23T10:00:00+01:00,21
Rottal-Inn,2020-03-23T10:00:00+01:00,79
Schwabach Stadt,2020-03-23T10:00:00+01:00,8
Schwandorf,2020-03-23T10:00:00+01:00,38
Schweinfurt,2020-03-23T10:00:00+01:00,40
Schweinfurt Stadt,2020-03-23T10:00:00+01:00,7
Starnberg,2020-03-23T10:00:00+01:00,110
Straubing Stadt,2020-03-23T10:00:00+01:00,40
Straubing-Bogen,2020-03-23T10:00:00+01:00,46
Tirschenreuth,2020-03-23T10:00:00+01:00,148
Traunstein,2020-03-23T10:00:00+01:00,64
Unterallgäu,2020-03-23T10:00:00+01:00,43
Weiden Stadt,2020-03-23T10:00:00+01:00,20
Weilheim-Schongau,2020-03-23T10:00:00+01:00,93
Weißenburg-Gunzenhausen,2020-03-23T10:00:00+01:00,24
Wunsiedel i.Fichtelgebirge,2020-03-23T10:00:00+01:00,53
Würzburg,2020-03-23T10:00:00+01:00,135
Würzburg Stadt,2020-03-23T10:00:00+01:00,88
