Area,Date,Confirmed
Aichach-Friedberg,2020-03-26T10:00:00+01:00,79
Altötting,2020-03-26T10:00:00+01:00,72
Amberg Stadt,2020-03-26T10:00:00+01:00,7
Amberg-Sulzbach,2020-03-26T10:00:00+01:00,44
Ansbach,2020-03-26T10:00:00+01:00,85
Ansbach Stadt,2020-03-26T10:00:00+01:00,10
Aschaffenburg,2020-03-26T10:00:00+01:00,77
Aschaffenburg Stadt,2020-03-26T10:00:00+01:00,32
Augsburg,2020-03-26T10:00:00+01:00,125
Augsburg Stadt,2020-03-26T10:00:00+01:00,90
Bad Kissingen,2020-03-26T10:00:00+01:00,32
Bad Tölz,2020-03-26T10:00:00+01:00,99
Bamberg,2020-03-26T10:00:00+01:00,105
Bamberg Stadt,2020-03-26T10:00:00+01:00,37
Bayreuth,2020-03-26T10:00:00+01:00,46
Bayreuth Stadt,2020-03-26T10:00:00+01:00,21
Berchtesgadener Land,2020-03-26T10:00:00+01:00,47
Cham,2020-03-26T10:00:00+01:00,103
Coburg,2020-03-26T10:00:00+01:00,34
Coburg Stadt,2020-03-26T10:00:00+01:00,13
Dachau,2020-03-26T10:00:00+01:00,133
Deggendorf,2020-03-26T10:00:00+01:00,76
Dillingen a.d. Donau,2020-03-26T10:00:00+01:00,26
Dingolfing-Landau,2020-03-26T10:00:00+01:00,61
Donau-Ries,2020-03-26T10:00:00+01:00,52
Ebersberg,2020-03-26T10:00:00+01:00,114
Eichstätt,2020-03-26T10:00:00+01:00,38
Erding,2020-03-26T10:00:00+01:00,170
Erlangen Stadt,2020-03-26T10:00:00+01:00,35
Erlangen-Höchstadt,2020-03-26T10:00:00+01:00,37
Forchheim,2020-03-26T10:00:00+01:00,35
Freising,2020-03-26T10:00:00+01:00,325
Freyung-Grafenau,2020-03-26T10:00:00+01:00,35
Fürstenfeldbruck,2020-03-26T10:00:00+01:00,161
Fürth,2020-03-26T10:00:00+01:00,47
Fürth Stadt,2020-03-26T10:00:00+01:00,37
Garmisch-Partenkirchen,2020-03-26T10:00:00+01:00,65
Günzburg,2020-03-26T10:00:00+01:00,25
Haßberge,2020-03-26T10:00:00+01:00,29
Hof,2020-03-26T10:00:00+01:00,64
Hof Stadt,2020-03-26T10:00:00+01:00,19
Ingolstadt Stadt,2020-03-26T10:00:00+01:00,27
Kaufbeuren Stadt,2020-03-26T10:00:00+01:00,12
Kelheim,2020-03-26T10:00:00+01:00,73
Kempten Stadt,2020-03-26T10:00:00+01:00,29
Kitzingen,2020-03-26T10:00:00+01:00,18
Kronach,2020-03-26T10:00:00+01:00,27
Kulmbach,2020-03-26T10:00:00+01:00,42
Landsberg am Lech,2020-03-26T10:00:00+01:00,88
Landshut,2020-03-26T10:00:00+01:00,153
Landshut Stadt,2020-03-26T10:00:00+01:00,45
Lichtenfels,2020-03-26T10:00:00+01:00,46
Lindau (Bodensee),2020-03-26T10:00:00+01:00,80
Main-Spessart,2020-03-26T10:00:00+01:00,36
Memmingen Stadt,2020-03-26T10:00:00+01:00,22
Miesbach,2020-03-26T10:00:00+01:00,189
Miltenberg,2020-03-26T10:00:00+01:00,60
Mühldorf a.Inn,2020-03-26T10:00:00+01:00,71
München,2020-03-26T10:00:00+01:00,398
München Stadt,2020-03-26T10:00:00+01:00,1564
Neu-Ulm,2020-03-26T10:00:00+01:00,88
Neuburg-Schrobenhausen,2020-03-26T10:00:00+01:00,51
Neumarkt i.d.Opf.,2020-03-26T10:00:00+01:00,43
Neustadt a.d. Aisch-Bad Windsheim,2020-03-26T10:00:00+01:00,32
Neustadt a.d. Waldnaab,2020-03-26T10:00:00+01:00,72
Nürnberg Stadt,2020-03-26T10:00:00+01:00,171
Nürnberger Land,2020-03-26T10:00:00+01:00,95
Oberallgäu,2020-03-26T10:00:00+01:00,64
Ostallgäu,2020-03-26T10:00:00+01:00,87
Passau,2020-03-26T10:00:00+01:00,49
Passau Stadt,2020-03-26T10:00:00+01:00,20
Pfaffenhofen a.d.Ilm,2020-03-26T10:00:00+01:00,54
Regen,2020-03-26T10:00:00+01:00,39
Regensburg,2020-03-26T10:00:00+01:00,107
Regensburg Stadt,2020-03-26T10:00:00+01:00,124
Rhön-Grabfeld,2020-03-26T10:00:00+01:00,24
Rosenheim,2020-03-26T10:00:00+01:00,359
Rosenheim Stadt,2020-03-26T10:00:00+01:00,71
Roth,2020-03-26T10:00:00+01:00,47
Rottal-Inn,2020-03-26T10:00:00+01:00,125
Schwabach Stadt,2020-03-26T10:00:00+01:00,16
Schwandorf,2020-03-26T10:00:00+01:00,69
Schweinfurt,2020-03-26T10:00:00+01:00,61
Schweinfurt Stadt,2020-03-26T10:00:00+01:00,13
Starnberg,2020-03-26T10:00:00+01:00,110
Straubing Stadt,2020-03-26T10:00:00+01:00,50
Straubing-Bogen,2020-03-26T10:00:00+01:00,56
Tirschenreuth,2020-03-26T10:00:00+01:00,239
Traunstein,2020-03-26T10:00:00+01:00,122
Unterallgäu,2020-03-26T10:00:00+01:00,72
Weiden Stadt,2020-03-26T10:00:00+01:00,40
Weilheim-Schongau,2020-03-26T10:00:00+01:00,128
Weißenburg-Gunzenhausen,2020-03-26T10:00:00+01:00,35
Wunsiedel i.Fichtelgebirge,2020-03-26T10:00:00+01:00,84
Würzburg,2020-03-26T10:00:00+01:00,175
Würzburg Stadt,2020-03-26T10:00:00+01:00,128
