Area,Date,Confirmed
Aichach-Friedberg,2020-03-27T10:00:00+01:00,79
Altötting,2020-03-27T10:00:00+01:00,79
Amberg Stadt,2020-03-27T10:00:00+01:00,7
Amberg-Sulzbach,2020-03-27T10:00:00+01:00,47
Ansbach,2020-03-27T10:00:00+01:00,100
Ansbach Stadt,2020-03-27T10:00:00+01:00,15
Aschaffenburg,2020-03-27T10:00:00+01:00,90
Aschaffenburg Stadt,2020-03-27T10:00:00+01:00,36
Augsburg,2020-03-27T10:00:00+01:00,135
Augsburg Stadt,2020-03-27T10:00:00+01:00,109
Bad Kissingen,2020-03-27T10:00:00+01:00,42
Bad Tölz,2020-03-27T10:00:00+01:00,126
Bamberg,2020-03-27T10:00:00+01:00,144
Bamberg Stadt,2020-03-27T10:00:00+01:00,55
Bayreuth,2020-03-27T10:00:00+01:00,80
Bayreuth Stadt,2020-03-27T10:00:00+01:00,36
Berchtesgadener Land,2020-03-27T10:00:00+01:00,59
Cham,2020-03-27T10:00:00+01:00,120
Coburg,2020-03-27T10:00:00+01:00,37
Coburg Stadt,2020-03-27T10:00:00+01:00,14
Dachau,2020-03-27T10:00:00+01:00,152
Deggendorf,2020-03-27T10:00:00+01:00,90
Dillingen a.d. Donau,2020-03-27T10:00:00+01:00,29
Dingolfing-Landau,2020-03-27T10:00:00+01:00,69
Donau-Ries,2020-03-27T10:00:00+01:00,57
Ebersberg,2020-03-27T10:00:00+01:00,133
Eichstätt,2020-03-27T10:00:00+01:00,48
Erding,2020-03-27T10:00:00+01:00,213
Erlangen Stadt,2020-03-27T10:00:00+01:00,43
Erlangen-Höchstadt,2020-03-27T10:00:00+01:00,44
Forchheim,2020-03-27T10:00:00+01:00,61
Freising,2020-03-27T10:00:00+01:00,352
Freyung-Grafenau,2020-03-27T10:00:00+01:00,39
Fürstenfeldbruck,2020-03-27T10:00:00+01:00,222
Fürth,2020-03-27T10:00:00+01:00,65
Fürth Stadt,2020-03-27T10:00:00+01:00,44
Garmisch-Partenkirchen,2020-03-27T10:00:00+01:00,76
Günzburg,2020-03-27T10:00:00+01:00,53
Haßberge,2020-03-27T10:00:00+01:00,34
Hof,2020-03-27T10:00:00+01:00,73
Hof Stadt,2020-03-27T10:00:00+01:00,20
Ingolstadt Stadt,2020-03-27T10:00:00+01:00,31
Kaufbeuren Stadt,2020-03-27T10:00:00+01:00,16
Kelheim,2020-03-27T10:00:00+01:00,85
Kempten Stadt,2020-03-27T10:00:00+01:00,29
Kitzingen,2020-03-27T10:00:00+01:00,23
Kronach,2020-03-27T10:00:00+01:00,34
Kulmbach,2020-03-27T10:00:00+01:00,51
Landsberg am Lech,2020-03-27T10:00:00+01:00,109
Landshut,2020-03-27T10:00:00+01:00,200
Landshut Stadt,2020-03-27T10:00:00+01:00,71
Lichtenfels,2020-03-27T10:00:00+01:00,54
Lindau (Bodensee),2020-03-27T10:00:00+01:00,93
Main-Spessart,2020-03-27T10:00:00+01:00,41
Memmingen Stadt,2020-03-27T10:00:00+01:00,22
Miesbach,2020-03-27T10:00:00+01:00,212
Miltenberg,2020-03-27T10:00:00+01:00,69
Mühldorf a.Inn,2020-03-27T10:00:00+01:00,77
München,2020-03-27T10:00:00+01:00,437
München Stadt,2020-03-27T10:00:00+01:00,1673
Neu-Ulm,2020-03-27T10:00:00+01:00,88
Neuburg-Schrobenhausen,2020-03-27T10:00:00+01:00,51
Neumarkt i.d.Opf.,2020-03-27T10:00:00+01:00,43
Neustadt a.d. Aisch-Bad Windsheim,2020-03-27T10:00:00+01:00,35
Neustadt a.d. Waldnaab,2020-03-27T10:00:00+01:00,99
Nürnberg Stadt,2020-03-27T10:00:00+01:00,186
Nürnberger Land,2020-03-27T10:00:00+01:00,95
Oberallgäu,2020-03-27T10:00:00+01:00,64
Ostallgäu,2020-03-27T10:00:00+01:00,95
Passau,2020-03-27T10:00:00+01:00,64
Passau Stadt,2020-03-27T10:00:00+01:00,20
Pfaffenhofen a.d.Ilm,2020-03-27T10:00:00+01:00,54
Regen,2020-03-27T10:00:00+01:00,40
Regensburg,2020-03-27T10:00:00+01:00,121
Regensburg Stadt,2020-03-27T10:00:00+01:00,133
Rhön-Grabfeld,2020-03-27T10:00:00+01:00,30
Rosenheim,2020-03-27T10:00:00+01:00,359
Rosenheim Stadt,2020-03-27T10:00:00+01:00,71
Roth,2020-03-27T10:00:00+01:00,60
Rottal-Inn,2020-03-27T10:00:00+01:00,170
Schwabach Stadt,2020-03-27T10:00:00+01:00,17
Schwandorf,2020-03-27T10:00:00+01:00,72
Schweinfurt,2020-03-27T10:00:00+01:00,74
Schweinfurt Stadt,2020-03-27T10:00:00+01:00,19
Starnberg,2020-03-27T10:00:00+01:00,135
Straubing Stadt,2020-03-27T10:00:00+01:00,59
Straubing-Bogen,2020-03-27T10:00:00+01:00,61
Tirschenreuth,2020-03-27T10:00:00+01:00,251
Traunstein,2020-03-27T10:00:00+01:00,145
Unterallgäu,2020-03-27T10:00:00+01:00,94
Weiden Stadt,2020-03-27T10:00:00+01:00,47
Weilheim-Schongau,2020-03-27T10:00:00+01:00,146
Weißenburg-Gunzenhausen,2020-03-27T10:00:00+01:00,64
Wunsiedel i.Fichtelgebirge,2020-03-27T10:00:00+01:00,112
Würzburg,2020-03-27T10:00:00+01:00,148
Würzburg Stadt,2020-03-27T10:00:00+01:00,204
