Area,Date,Value
Burgenland,2020-05-22T15:00:00+02:00,337
Kärnten,2020-05-22T15:00:00+02:00,411
Niederösterreich,2020-05-22T15:00:00+02:00,2838
Oberösterreich,2020-05-22T15:00:00+02:00,2287
Salzburg,2020-05-22T15:00:00+02:00,1220
Steiermark,2020-05-22T15:00:00+02:00,1833
Tirol,2020-05-22T15:00:00+02:00,3534
Vorarlberg,2020-05-22T15:00:00+02:00,896
Wien,2020-05-22T15:00:00+02:00,3032
