Area,Date,Value
Burgenland,2021-03-10T09:30:00+01:00,245
Kärnten,2021-03-10T09:30:00+01:00,705
Niederösterreich,2021-03-10T09:30:00+01:00,1401
Oberösterreich,2021-03-10T09:30:00+01:00,1531
Salzburg,2021-03-10T09:30:00+01:00,505
Steiermark,2021-03-10T09:30:00+01:00,1785
Tirol,2021-03-10T09:30:00+01:00,585
Vorarlberg,2021-03-10T09:30:00+01:00,278
Wien,2021-03-10T09:30:00+01:00,1741
