Area,Date,Value
Burgenland,2021-01-08T09:30:00+01:00,185
Kärnten,2021-01-08T09:30:00+01:00,547
Niederösterreich,2021-01-08T09:30:00+01:00,931
Oberösterreich,2021-01-08T09:30:00+01:00,1306
Salzburg,2021-01-08T09:30:00+01:00,358
Steiermark,2021-01-08T09:30:00+01:00,1422
Tirol,2021-01-08T09:30:00+01:00,490
Vorarlberg,2021-01-08T09:30:00+01:00,226
Wien,2021-01-08T09:30:00+01:00,1176
