Area,Date,Confirmed,Deaths,Recovered,Hospital,Intensivecare,Tests
Burgenland,2021-08-12T09:30:00+02:00,18646,343,18211,3,1,2630247
Kärnten,2021-08-12T09:30:00+02:00,40947,822,39830,17,2,3207020
Niederösterreich,2021-08-12T09:30:00+02:00,112873,1830,109526,30,4,13714222
Oberösterreich,2021-08-12T09:30:00+02:00,119356,1759,116732,20,5,11253459
Salzburg,2021-08-12T09:30:00+02:00,50552,588,49409,11,3,4593615
Steiermark,2021-08-12T09:30:00+02:00,81169,2097,78418,21,7,9840551
Tirol,2021-08-12T09:30:00+02:00,65392,637,64028,31,7,5643314
Vorarlberg,2021-08-12T09:30:00+02:00,31530,308,30855,8,2,4118207
Wien,2021-08-12T09:30:00+02:00,145420,2369,140874,62,20,15555771
