Area,Date,Confirmed,Deaths,Recovered,Hospital,Intensivecare,Tests
Burgenland,2023-06-16T00:00:00+02:00,199146,639,198340,0,0,6049615
Kärnten,2023-06-16T00:00:00+02:00,333062,1724,331292,1,1,6998877
Niederösterreich,2023-06-16T00:00:00+02:00,1174983,4667,1169994,9,0,41237558
Oberösterreich,2023-06-16T00:00:00+02:00,1038142,3581,1034296,7,0,26148599
Salzburg,2023-06-16T00:00:00+02:00,395649,1264,394333,12,0,11246916
Steiermark,2023-06-16T00:00:00+02:00,740017,3628,736229,11,0,22988179
Tirol,2023-06-16T00:00:00+02:00,515943,1511,514346,3,2,10312447
Vorarlberg,2023-06-16T00:00:00+02:00,261876,692,261175,2,0,7345511
Wien,2023-06-16T00:00:00+02:00,1421124,4817,1413162,23,4,75746366
