Area,Date,Value
Burgenland,2020-10-28T15:00:00+01:00,2065
Kärnten,2020-10-28T15:00:00+01:00,2262
Niederösterreich,2020-10-28T15:00:00+01:00,13657
Oberösterreich,2020-10-28T15:00:00+01:00,14750
Salzburg,2020-10-28T15:00:00+01:00,5977
Steiermark,2020-10-28T15:00:00+01:00,7650
Tirol,2020-10-28T15:00:00+01:00,11592
Vorarlberg,2020-10-28T15:00:00+01:00,4651
Wien,2020-10-28T15:00:00+01:00,29291
