Area,Date,Confirmed,Deaths,Recovered,Hospital,Intensivecare,Tests
Burgenland,2022-10-23T00:00:00+02:00,171447,619,167410,71,7,5709088
Kärnten,2022-10-23T00:00:00+02:00,307513,1693,300130,149,6,6848465
Niederösterreich,2022-10-23T00:00:00+02:00,1016592,4116,995264,376,26,40530881
Oberösterreich,2022-10-23T00:00:00+02:00,943862,3426,923818,351,18,25424561
Salzburg,2022-10-23T00:00:00+02:00,366512,1199,360959,163,9,10977332
Steiermark,2022-10-23T00:00:00+02:00,673768,3472,657676,293,17,22054897
Tirol,2022-10-23T00:00:00+02:00,475632,1414,468706,132,9,9792826
Vorarlberg,2022-10-23T00:00:00+02:00,244630,667,242706,59,2,7231843
Wien,2022-10-23T00:00:00+02:00,1202206,4293,1176450,608,34,71055481
