Area,Date,Value
Burgenland,2020-09-21T09:30:00+02:00,1
Kärnten,2020-09-21T09:30:00+02:00,3
Niederösterreich,2020-09-21T09:30:00+02:00,11
Oberösterreich,2020-09-21T09:30:00+02:00,2
Salzburg,2020-09-21T09:30:00+02:00,2
Steiermark,2020-09-21T09:30:00+02:00,5
Tirol,2020-09-21T09:30:00+02:00,2
Vorarlberg,2020-09-21T09:30:00+02:00,3
Wien,2020-09-21T09:30:00+02:00,38
