Area,Date,Confirmed,Deaths,Recovered,Hospital,Intensivecare,Tests
Burgenland,2022-02-14T09:30:00+01:00,55065,467,47089,73,6,4383728
Kärnten,2022-02-14T09:30:00+01:00,142762,1131,115024,147,14,6117399
Niederösterreich,2022-02-14T09:30:00+01:00,384663,2701,329262,299,25,28415840
Oberösterreich,2022-02-14T09:30:00+01:00,432183,2429,385170,334,27,21792488
Salzburg,2022-02-14T09:30:00+01:00,180856,820,162930,92,4,9792631
Steiermark,2022-02-14T09:30:00+01:00,277512,2571,233561,288,20,18643448
Tirol,2022-02-14T09:30:00+01:00,227170,847,204942,225,20,8510625
Vorarlberg,2022-02-14T09:30:00+01:00,113287,467,96605,74,4,6478553
Wien,2022-02-14T09:30:00+01:00,485731,2959,394791,609,77,47036495
