Area,Date,Value
Burgenland,2021-03-11T09:30:00+01:00,76
Kärnten,2021-03-11T09:30:00+01:00,91
Niederösterreich,2021-03-11T09:30:00+01:00,389
Oberösterreich,2021-03-11T09:30:00+01:00,152
Salzburg,2021-03-11T09:30:00+01:00,100
Steiermark,2021-03-11T09:30:00+01:00,246
Tirol,2021-03-11T09:30:00+01:00,86
Vorarlberg,2021-03-11T09:30:00+01:00,19
Wien,2021-03-11T09:30:00+01:00,437
