Area,Date,Confirmed,Deaths,Recovered,Hospital,Intensivecare,Tests
Burgenland,2022-05-28T09:30:00+02:00,118425,556,116771,33,5,5310859
Kärnten,2022-05-28T09:30:00+02:00,247401,1623,244619,31,2,6585890
Niederösterreich,2022-05-28T09:30:00+02:00,808714,3626,790772,103,8,38923291
Oberösterreich,2022-05-28T09:30:00+02:00,766433,2838,759969,45,3,24269643
Salzburg,2022-05-28T09:30:00+02:00,294804,1139,291992,22,0,10577284
Steiermark,2022-05-28T09:30:00+02:00,547274,3386,542079,59,11,20929794
Tirol,2022-05-28T09:30:00+02:00,357927,937,355776,54,4,9535056
Vorarlberg,2022-05-28T09:30:00+02:00,204393,547,203291,6,1,7056864
Wien,2022-05-28T09:30:00+02:00,901260,3999,885737,145,14,64143572
