Area,Date,Confirmed,Deaths,Recovered,Hospital,Intensivecare,Tests
Burgenland,2022-12-07T00:00:00+01:00,179663,631,176918,38,5,5851989
Kärnten,2022-12-07T00:00:00+01:00,317071,1709,313376,72,1,6925483
Niederösterreich,2022-12-07T00:00:00+01:00,1066036,4204,1050837,291,15,40818854
Oberösterreich,2022-12-07T00:00:00+01:00,970959,3471,961682,96,9,25768850
Salzburg,2022-12-07T00:00:00+01:00,375418,1212,372389,82,1,11094677
Steiermark,2022-12-07T00:00:00+01:00,694874,3507,686520,121,9,22426927
Tirol,2022-12-07T00:00:00+01:00,488202,1436,484201,42,4,10173574
Vorarlberg,2022-12-07T00:00:00+01:00,251123,675,249707,30,0,7281425
Wien,2022-12-07T00:00:00+01:00,1257222,4412,1233776,224,15,72814657
