Area,Date,Confirmed,Deaths,Recovered,Hospital,Intensivecare,Tests
Burgenland,2022-03-10T09:30:00+01:00,75223,486,64425,104,10,4720958
Kärnten,2022-03-10T09:30:00+01:00,183421,1195,164048,221,12,6321600
Niederösterreich,2022-03-10T09:30:00+01:00,534500,2863,461089,485,29,32207075
Oberösterreich,2022-03-10T09:30:00+01:00,558149,2554,510259,397,25,23056771
Salzburg,2022-03-10T09:30:00+01:00,226007,857,203202,103,3,10180681
Steiermark,2022-03-10T09:30:00+01:00,382628,2677,334999,431,28,19662740
Tirol,2022-03-10T09:30:00+01:00,287738,885,262038,205,17,9009009
Vorarlberg,2022-03-10T09:30:00+01:00,148341,500,130192,79,6,6743669
Wien,2022-03-10T09:30:00+01:00,626072,3119,541141,643,49,52974412
