Area,Date,Value
Burgenland,2020-07-09T09:30:00+02:00,2
Kärnten,2020-07-09T09:30:00+02:00,1
Niederösterreich,2020-07-09T09:30:00+02:00,11
Oberösterreich,2020-07-09T09:30:00+02:00,23
Salzburg,2020-07-09T09:30:00+02:00,2
Steiermark,2020-07-09T09:30:00+02:00,3
Tirol,2020-07-09T09:30:00+02:00,2
Vorarlberg,2020-07-09T09:30:00+02:00,1
Wien,2020-07-09T09:30:00+02:00,33
