Area,Date,Confirmed,Deaths,Recovered,Hospital,Intensivecare,Tests
Burgenland,2021-09-18T09:30:00+02:00,19807,348,19020,17,4,2943253
Kärnten,2021-09-18T09:30:00+02:00,43141,834,41416,33,6,4014463
Niederösterreich,2021-09-18T09:30:00+02:00,121489,1860,115706,121,38,15686855
Oberösterreich,2021-09-18T09:30:00+02:00,131324,1782,125646,179,36,13589794
Salzburg,2021-09-18T09:30:00+02:00,54637,596,52371,52,8,5715099
Steiermark,2021-09-18T09:30:00+02:00,86999,2118,82605,76,21,11694848
Tirol,2021-09-18T09:30:00+02:00,69034,647,67279,53,9,6017534
Vorarlberg,2021-09-18T09:30:00+02:00,33948,316,32764,24,6,4667485
Wien,2021-09-18T09:30:00+02:00,161978,2388,151208,305,83,18539101
