Area,Date,Value
Burgenland,2020-04-25T09:30:00+02:00,235
Kärnten,2020-04-25T09:30:00+02:00,360
Niederösterreich,2020-04-25T09:30:00+02:00,1950
Oberösterreich,2020-04-25T09:30:00+02:00,2021
Salzburg,2020-04-25T09:30:00+02:00,1041
Steiermark,2020-04-25T09:30:00+02:00,1011
Tirol,2020-04-25T09:30:00+02:00,2982
Vorarlberg,2020-04-25T09:30:00+02:00,755
Wien,2020-04-25T09:30:00+02:00,1748
