Area,Date,Value
Burgenland,2021-03-26T09:30:00+01:00,269
Kärnten,2021-03-26T09:30:00+01:00,737
Niederösterreich,2021-03-26T09:30:00+01:00,1508
Oberösterreich,2021-03-26T09:30:00+01:00,1580
Salzburg,2021-03-26T09:30:00+01:00,531
Steiermark,2021-03-26T09:30:00+01:00,1846
Tirol,2021-03-26T09:30:00+01:00,592
Vorarlberg,2021-03-26T09:30:00+01:00,280
Wien,2021-03-26T09:30:00+01:00,1857
