Area,Date,Confirmed,Deaths,Recovered,Hospital,Intensivecare,Tests
Burgenland,2022-11-26T00:00:00+01:00,177502,630,174924,28,7,5813720
Kärnten,2022-11-26T00:00:00+01:00,314738,1709,311247,32,2,6908505
Niederösterreich,2022-11-26T00:00:00+01:00,1052889,4178,1039116,274,17,40749966
Oberösterreich,2022-11-26T00:00:00+01:00,964846,3467,955975,105,8,25666309
Salzburg,2022-11-26T00:00:00+01:00,373133,1210,370372,89,1,11061026
Steiermark,2022-11-26T00:00:00+01:00,689754,3493,682007,100,13,22327527
Tirol,2022-11-26T00:00:00+01:00,484852,1435,481312,26,3,10425757
Vorarlberg,2022-11-26T00:00:00+01:00,249354,673,247818,19,3,7267612
Wien,2022-11-26T00:00:00+01:00,1240514,4392,1220011,192,15,72356144
