Area,Date,Value
Burgenland,2021-01-18T09:30:00+01:00,7
Kärnten,2021-01-18T09:30:00+01:00,8
Niederösterreich,2021-01-18T09:30:00+01:00,57
Oberösterreich,2021-01-18T09:30:00+01:00,48
Salzburg,2021-01-18T09:30:00+01:00,16
Steiermark,2021-01-18T09:30:00+01:00,63
Tirol,2021-01-18T09:30:00+01:00,23
Vorarlberg,2021-01-18T09:30:00+01:00,9
Wien,2021-01-18T09:30:00+01:00,103
