Area,Date,Value
Burgenland,2020-11-06T09:30:00+01:00,1737
Kärnten,2020-11-06T09:30:00+01:00,2138
Niederösterreich,2020-11-06T09:30:00+01:00,12605
Oberösterreich,2020-11-06T09:30:00+01:00,14545
Salzburg,2020-11-06T09:30:00+01:00,4903
Steiermark,2020-11-06T09:30:00+01:00,6007
Tirol,2020-11-06T09:30:00+01:00,11872
Vorarlberg,2020-11-06T09:30:00+01:00,4500
Wien,2020-11-06T09:30:00+01:00,25400
