Area,Date,Confirmed,Deaths,Recovered,Hospital,Intensivecare,Tests
Burgenland,2022-11-19T00:00:00+01:00,176270,628,173884,31,2,5790750
Kärnten,2022-11-19T00:00:00+01:00,313394,1708,310134,44,3,6895667
Niederösterreich,2022-11-19T00:00:00+01:00,1045548,4165,1032560,262,21,40707738
Oberösterreich,2022-11-19T00:00:00+01:00,961225,3466,952472,90,7,25615023
Salzburg,2022-11-19T00:00:00+01:00,371891,1209,369213,78,3,11044142
Steiermark,2022-11-19T00:00:00+01:00,686877,3486,679649,107,13,22272692
Tirol,2022-11-19T00:00:00+01:00,483035,1436,479633,34,5,10409501
Vorarlberg,2022-11-19T00:00:00+01:00,248246,672,246852,21,2,7260241
Wien,2022-11-19T00:00:00+01:00,1231407,4374,1212828,180,20,72093046
