Area,Date,Confirmed,Deaths,Recovered,Hospital,Intensivecare,Tests
Burgenland,2022-07-04T09:30:00+02:00,125184,562,121466,32,3,5339237
Kärnten,2022-07-04T09:30:00+02:00,254984,1631,250115,38,1,6635942
Niederösterreich,2022-07-04T09:30:00+02:00,855894,3677,824286,212,7,39589153
Oberösterreich,2022-07-04T09:30:00+02:00,793719,2853,780195,133,6,24578812
Salzburg,2022-07-04T09:30:00+02:00,306860,1145,302000,43,0,10652012
Steiermark,2022-07-04T09:30:00+02:00,568104,3400,555915,125,7,21158180
Tirol,2022-07-04T09:30:00+02:00,370694,940,364607,85,2,9607640
Vorarlberg,2022-07-04T09:30:00+02:00,213682,549,211033,51,2,7097834
Wien,2022-07-04T09:30:00+02:00,976194,4041,926886,210,23,66174532
