Area,Date,Confirmed,Deaths,Recovered,Hospital,Intensivecare,Tests
Burgenland,2022-05-06T09:30:00+02:00,115792,551,112773,65,9,5158426
Kärnten,2022-05-06T09:30:00+02:00,243775,1614,239797,75,4,6554271
Niederösterreich,2022-05-06T09:30:00+02:00,791883,3303,765323,232,13,37891034
Oberösterreich,2022-05-06T09:30:00+02:00,756279,2826,745066,107,8,24148608
Salzburg,2022-05-06T09:30:00+02:00,290574,1128,286903,24,0,10544005
Steiermark,2022-05-06T09:30:00+02:00,539711,3371,531600,129,6,20732103
Tirol,2022-05-06T09:30:00+02:00,353224,931,349739,47,2,9492210
Vorarlberg,2022-05-06T09:30:00+02:00,201733,543,200147,23,1,7034953
Wien,2022-05-06T09:30:00+02:00,879789,3961,852815,336,33,62413688
